UDID,Headline_Alt,What_are_the_benefits,What_are_the_risks,What_might_the_cost_be,How_much_time_might_be_involved,Who_can_use_this,Whos_involved,How_much_is_this_used,What_are_the_possible_outcomes
D1040,Support from your vendors,"* Low or no formal costs.

* Fast way to remove potentially infringing goods from shelves.

* May reveal useful details about the source of the goods.

* Less publicity compared with some other options.

* Can stop further losses before they grow.","* Contacting anyone about infringement without solid evidence may expose you to claims ofunjustified threats. Depending on your approach, you may be seen to be engaging in unfair business practices

* The intermediary may be complicit or may alert the suspected infringer, giving them time to hide or destroy evidence.

* Taking a firm stance may strain or end a valuable commercial relationship.

* Intermediaries may seek compensation for lost stock if your claim is unfounded.",,,"* A person who owns the IP right or an authorised user,

* Who has evidence that infringement has occurred, and

* Can identify an intermediary whose actions may be able to prevent further infringement.",,"As this process is directly between businesses, IP Australia cannot estimate how often this option is used.","* The intermediary stops making, importing or selling the goods. This may include a voluntary product recall to remove existing stock from stores.

* The intermediary might decline or refuse to act. If no agreement is reached, you may decide to pursue other enforcement options.

* The intermediary might provide details of their supplier, helping you act 'upstream' or investigate suspected infringement further.

* You and the suspected infringer agree to a commercial solution, such as licence terms or re‑labelling to avoid confusion."
C1011,Patent search,"* Reduces risk of accidentally infringing someone else's patent.

* Can support investment decisions and product launches with greater confidence.

* Helps you understand the patent landscape in your industry.

* May reveal licensing opportunities or expired patents you can freely use.

* Helps inform whether you need to change your product or seek permission.

* Demonstrates to investors or partners that you've done your due diligence.","* Complex results may be difficult to interpret without expert help.

* Missed patents in the search may result in unexpected issues later.

* A 'clear' result can give false confidence if the scope of patents is misunderstood. Further clarification may require legal advice, which adds to costs.",,,"* Any individual or business planning to launch a new product or process.

* Anyone concerned their innovation may overlap with existing patent rights.",,"Freedom to operate searches are fairly common practice, particularly in new or emerging sectors. It forms a significant part of an IP monitoring strategy.
In smaller enterprises, this is more likely to be handled in-house, although professional IP monitoring and searching services are also widely used.","* You identify existing patents that could pose a risk to your business.

* You find there are no relevant patents, and proceed with greater confidence.

* You discover expired patents, allowing free use of certain technologies.

* You use the findings to adapt your product or negotiate a licence.

* You decide to seek legal advice or conduct further searching."
D1018,Court - Patent,"* If you succeed, a court may award damages or compensation to cover various losses and costs (including, in some cases, an account of profits made by the infringer through their infringement).

* Court decisions are binding and enforceable.

* The other party cannot simply ignore your legal claim without consequences.

* You can resolve several related matters in one case including claims of infringement, patent validity challenges and other related legal claims.

* Court can take into consideration a wide range of legal factors which may fall outside the scope of other decision-making bodies such as IP Australia's Opposition and Hearing processes.

* Court proceedings allow cross-examination of evidence and expert witnesses, which could be helpful for prosecuting your argument if you have a highly technical case.

* The gravity, expense, publicity and protracted nature of court proceedings can encourage parties to negotiate or engage in other forms of dispute resolution to settle legal claims and avoid court proceedings continuing.

* For infringement claims, a court can in appropriate situations make orders to prevent the infringer from continuing to infringe your IP rights.","* The outcome can be unpredictable.

* While a court can determine matters of law, it may not be in the best interests of your business. Proving you are in the right, legally, may not be the same as making a good business decision.

* The other party to the legal action may make counterclaims or other legal claims against you.

* On top of paying your legal costs, you may be required to pay some (or all) of the legal costs of the other party or parties if you are wholly (or partially) unsuccessful.

* The outcome you obtain may not be as advantageous as an offer of settlement previously made to you.

* If you or your staff are required to provide evidence in court, this can be very stressful and time-consuming and distract from the operation of your business.

* Court proceedings are usually public, so this option may not be suitable if confidentiality is important.

* You may be required to disclose information in the proceedings to the other party or parties that you may prefer to keep confidential.

* Court proceedings may attract unwanted publicity and potentially damage your reputation - particularly if you are unsuccessful or if your case is seen as unduly litigious.

* It can take a lot of time to prepare a legal claim and for proceedings to be finalised if the claim is not settled by the parties (see 'How much time might be involved?' below).

* You may not be able to bring a legal claim if you have agreed in a contract that you will use, or that you will first try, an alternative form of dispute resolution.",,,"For infringement actions, the owner of the patent usually starts the infringement action. In Australia, an exclusive licensee also has the right to start infringement proceedings.
Any party can challenge the validity of a patent and apply for it to be revoked in whole or in part.",,"Patent proceedings are not particularly common in Australia because they can be expensive and time consuming for the parties involved.
In the 2023-24 financial year, there were 41 patent and associated statutes filings in the Federal Court of Australia.

2
Some patent proceedings are also started in State/Territory courts.","The possible outcomes vary depending on the type of litigation.
It is possible you may reach a negotiated settlement with the other party.
For revocation proceedings, a court might order that a patent be:
* revoked in whole or in part

* amended in whole or in part

* upheld in whole or in part.
It is also possible to have a mixed result. For example, if some of the claims in a patent are challenged, one claim might be upheld and the other claim might be revoked.
For infringement proceedings:
* A court might temporarily order the alleged infringer to stop any alleged infringement until a final decision is made - seeSeek an urgent injunction

* If you're successful in infringement proceedings, a court might order:that you be paid damages or compensationthat the other party or parties pay some or all of your legal coststhe infringer not to infringe your IP rights in future.

* If you're unsuccessful in infringement proceedings, a court might order:that you pay some or all of the legal costs for the other party or parties.
Again, it is possible to have a mixed result. For example, a court might agree that some of the other party's conduct infringes your patent, but that other conduct does not.
Courts also have powers to make other types of orders as part of the outcome.
You or the other party or parties may be able to appeal the decision."
101-1,Infringement 101,,,,,,,,
B1009,Patent Re-Examination ,"A patent re-examination provides a relatively affordable and expedient means of challenging the validity of a patent.
The re-examination process also allows for the submission of documents and supporting evidence from the challenging party, including citations which may not have been considered when the patent was examined.
One additional benefit of the re-examination process, is that it operates independently of the court system, meaning that it will not prejudice any subsequent litigation (i.e. it won't influence a judge in a court case). Note that re-examination decisions may be appealed to the Federal Court.","There are some risks associated with the patent re-examination process.
While the costs associated with a re-examination request are low, there is still the possibility that the challenging party will not be successful, and the patent will be maintained. Notably, the re-examination process also allows the patent holder to amend their claims; in some cases, allowing them to circumvent the grounds on which the patent was challenged.
Another significant risk associated with re-examination, is that the process is '

ex parte'

, meaning that after the initial submissions to the Patent Office, the challenging party is not involved in the proceedings at all. As such, if the outcome of the re-examination is not in favour of the challenging party, they have few options to refute the outcome (although, another re-examination can be 

requested

).
Requesting a re-examination will also inform the other party of your request, potentially harming professional relationships and increasing the possibility that the other party may act more defensively or even contest your own rights.",,,Any person (in their capacity of natural or legal persons) may request re-examination of a patent.,,"The rate of re-examination varies widely, but it is generally quite rare. Third party initiated patent re-examination is typically used 10-20 times per year.","There are 4 possible outcomes from the patent re-examination process:
* The patent is upheld in its original form

* The patent is upheld in an amended form

* The patent is revoked

* In rare cases, IP Australia may not consider the re-examination request reasonable and refuse to re-examine the case.
If the challenging party remains unsatisfied, they are able escalate to invalidity proceedings in court (at significantly higher cost)."
E1000,Learn about IP,,,,,,,,
D1018,Court - Patent,"* If you succeed, a court may award damages or compensation to cover various losses and costs (including, in some cases, an account of profits made by the infringer through their infringement).

* Court decisions are binding and enforceable.

* The other party cannot simply ignore your legal claim without consequences.

* You can resolve several related matters in one case including claims of infringement, patent validity challenges and other related legal claims.

* Court can take into consideration a wide range of legal factors which may fall outside the scope of other decision-making bodies such as IP Australia's Opposition and Hearing processes.

* Court proceedings allow cross-examination of evidence and expert witnesses, which could be helpful for prosecuting your argument if you have a highly technical case.

* The gravity, expense, publicity and protracted nature of court proceedings can encourage parties to negotiate or engage in other forms of dispute resolution to settle legal claims and avoid court proceedings continuing.

* For infringement claims, a court can in appropriate situations make orders to prevent the infringer from continuing to infringe your IP rights.","* The outcome can be unpredictable.

* While a court can determine matters of law, it may not be in the best interests of your business. Proving you are in the right, legally, may not be the same as making a good business decision.

* The other party to the legal action may make counterclaims or other legal claims against you.

* On top of paying your legal costs, you may be required to pay some (or all) of the legal costs of the other party or parties if you are wholly (or partially) unsuccessful.

* The outcome you obtain may not be as advantageous as an offer of settlement previously made to you.

* If you or your staff are required to provide evidence in court, this can be very stressful and time-consuming and distract from the operation of your business.

* Court proceedings are usually public, so this option may not be suitable if confidentiality is important.

* You may be required to disclose information in the proceedings to the other party or parties that you may prefer to keep confidential.

* Court proceedings may attract unwanted publicity and potentially damage your reputation - particularly if you are unsuccessful or if your case is seen as unduly litigious.

* It can take a lot of time to prepare a legal claim and for proceedings to be finalised if the claim is not settled by the parties (see 'How much time might be involved?' below).

* You may not be able to bring a legal claim if you have agreed in a contract that you will use, or that you will first try, an alternative form of dispute resolution.",,,"For infringement actions, the owner of the patent usually starts the infringement action. In Australia, an exclusive licensee also has the right to start infringement proceedings.
Any party can challenge the validity of a patent and apply for it to be revoked in whole or in part.",,"Patent proceedings are not particularly common in Australia because they can be expensive and time consuming for the parties involved.
In the 2023-24 financial year, there were 41 patent and associated statutes filings in the Federal Court of Australia.

2
Some patent proceedings are also started in State/Territory courts.","The possible outcomes vary depending on the type of litigation.
It is possible you may reach a negotiated settlement with the other party.
For revocation proceedings, a court might order that a patent be:
* revoked in whole or in part

* amended in whole or in part

* upheld in whole or in part.
It is also possible to have a mixed result. For example, if some of the claims in a patent are challenged, one claim might be upheld and the other claim might be revoked.
For infringement proceedings:
* A court might temporarily order the alleged infringer to stop any alleged infringement until a final decision is made - seeSeek an urgent injunction

* If you're successful in infringement proceedings, a court might order:that you be paid damages or compensationthat the other party or parties pay some or all of your legal coststhe infringer not to infringe your IP rights in future.

* If you're unsuccessful in infringement proceedings, a court might order:that you pay some or all of the legal costs for the other party or parties.
Again, it is possible to have a mixed result. For example, a court might agree that some of the other party's conduct infringes your patent, but that other conduct does not.
Courts also have powers to make other types of orders as part of the outcome.
You or the other party or parties may be able to appeal the decision."
D1017,Patent opposition,"Patent oppositions provide a moderately cost-effective mechanism to challenge the validity of an Australian patent application. Additionally, the oppositions process is adversarial, meaning that you will have the opportunity to provide evidence and refute or reply to evidence provided by the opposition regarding the legal and/or factual arguments directed against the patent.
Additionally, the oppositions process takes place prior to the grant of the patent, potentially reducing the risk of commercial disputes arising from the grant of the patent.","* If your opposition action is unsuccessful and the patent is granted, you may also be required to pay the other party's costs.

* When opposing the acceptance of a patent, the applicant will be informed of your opposition, as well as any documents or evidence provided (unless you notify IP Australia of the confidentiality requirement for some or all of the documents). You should consider your overall strategy and if you are comfortable having the applicant be aware of you and access these materials.

* It is possible that filing an opposition may alert the other party to your claims and can cause them to act more defensively or even contest your own rights.

* Using this process improperly can be considered a bullying tactic and may expose you to costs.

* If you are late in providing evidence which you promised, late fees may be owed to IP Australia.",,,Anyone can oppose a patent.,,"Fewer than 300 per year (out of 30,000 patents filed each year)","There are three possible outcomes from the patent oppositions process,
* The patent is upheld in its original form

* The patent is upheld in an amended form

* The opposition is successful and the patent is revoked.
In some cases, amendments made to the claims may provide opportunity for a further hearing (if the opposing party wishes to oppose the amendments)."
C1007,IP Licensing,"Licensing your IP can offer several advantages:
* Generating income from ongoing royalty payments or a single lump-sum payment.

* Expanding into new markets without setting-up operations yourself.

* Retaining ownership while allowing others to use your IP.

* Depending on the licence you choose, you can allow others to use your IP but retain the right to use the IP yourself.

* Strengthening business relationships and opening up partnership opportunities.

* Leveraging another party's distribution, manufacturing or marketing capacity.

* Maintaining control through terms and restrictions in the agreement.

* Licences are incredibly flexible - you can choose what, where, when and how IP can be used.","Licensing your IP also comes with potential risks:
* Disputes can arise if the terms of the licence are not clear. Getting an IP professional to draft the licence can help to reduce this risk.

* You may need to monitor the licence agreement to ensure the other party complies with it.

* Licensing your IP rights to others has the potential to reduce the uniqueness or value of your IP depending on the circumstances, including who you license it to and the licensing terms.

* If youexclusivelylicense your IP rights, you will no longer be able to use them yourself.

* In specific instances regarding trade marks, if the licensor is unable to maintain effective controls over trade mark use, the trade mark can become vulnerable to removal for non-use.

* In the case a patent has been licensed to an exclusive licensee - they will have the right to commence infringement proceedings. In some cases, the patent holder can also be added as a party to those proceedings, potentially leading to legal action or expense.

* If you do not put in place arrangements to protect your sensitive commercial information (such as specific business practices or product features) during negotiations, it may be shared with other parties or misused by the recipient.

* You may also need to consider the potential tax implications of the licence, particularly if you are operating in multiple jurisdictions.",,,An IP rights owner and any other person with a right to sublicense IP rights (as long as that person complies with any restrictions that may apply to their right to sublicense those IP rights).,,It is very common for parties to commercialise their IP rights by licensing them to others.,"Outcomes of licensing investigations may include:
* Reaching a signed licence agreement with one or more parties

* Identifying and investigating a licensing opportunity but deciding not to proceed

* Using insights to negotiate stronger terms in future arrangements

* Deciding not to licence your IP rights if you decide it would not be beneficial."
E1014,Getting legal help ,,,,,,,,
Dxxxx,,,,,,,,,
D1001,Rebrand your business  ,"* Rebranding does not require the cooperation or even engagement with the other party, and is thus a very non-adversarial process.

* You have the control to avoid conflict - unlike adversarial processes which have unpredictable outcomes.

* It might be a more productive way to use your resources, compared to professional fees which may not add sufficient value to your business.

* You will be able to better distinguish yourself in the marketplace and lower the risk of confusion in the marketplace.

* The time, cost and labour required to take actions to avoid infringement on your IP may not be justified at this point in your business or IP journey.

* Choosing to avoid enforcement actions shelters you from needing to establish or defend your rights, which you may not wish to draw attention to.

* Additionally, clearly distinguishing yourself from competitors will help your customers avoid confusion, which may occur even if both parties have a registered right to use the trade mark.","* Without professional advice, there is a risk that you will miss easy and effective enforcement options.

* You may have a legal right to use the IP and will have given it up when you didn't have to; advice from an IP professional can help you determine this.

* Rebranding may not resolve the fundamental IP issue (e.g. you may believe that the new brand is different enough, but someone else could still consider itdeceptively similar, and thus grounds for challenging).

* You may lose some reputation/goodwill you may have built under your previous brand.

* Rebranding will not resolve any disputes about the design or the functional elements of your product(s).

* While rebranding does not necessarily require engagement with the other party, without engagement or agreement, you can't be assured the other party will not pursue enforcement actions (which may have occurred while using the previous brand).",,,Both large and small businesses use this strategy.,,One survey of 91 Australian small businesses found that 48% had to rebrand their business due to the inability to secure a trade mark.,"* The rebrand successfully avoids any potential conflicts and no further action is needed.

* The rebrand does not avoid the issues and other forms of resolution are required."
B1009,Patent Re-Examination ,"A patent re-examination provides a relatively affordable and expedient means of challenging the validity of a patent.
The re-examination process also allows for the submission of documents and supporting evidence from the challenging party, including citations which may not have been considered when the patent was examined.
One additional benefit of the re-examination process, is that it operates independently of the court system, meaning that it will not prejudice any subsequent litigation (i.e. it won't influence a judge in a court case). Note that re-examination decisions may be appealed to the Federal Court.","There are some risks associated with the patent re-examination process.
While the costs associated with a re-examination request are low, there is still the possibility that the challenging party will not be successful, and the patent will be maintained. Notably, the re-examination process also allows the patent holder to amend their claims; in some cases, allowing them to circumvent the grounds on which the patent was challenged.
Another significant risk associated with re-examination, is that the process is '

ex parte'

, meaning that after the initial submissions to the Patent Office, the challenging party is not involved in the proceedings at all. As such, if the outcome of the re-examination is not in favour of the challenging party, they have few options to refute the outcome (although, another re-examination can be 

requested

).
Requesting a re-examination will also inform the other party of your request, potentially harming professional relationships and increasing the possibility that the other party may act more defensively or even contest your own rights.",,,Any person (in their capacity of natural or legal persons) may request re-examination of a patent.,,"The rate of re-examination varies widely, but it is generally quite rare. Third party initiated patent re-examination is typically used 10-20 times per year.","There are 4 possible outcomes from the patent re-examination process:
* The patent is upheld in its original form

* The patent is upheld in an amended form

* The patent is revoked

* In rare cases, IP Australia may not consider the re-examination request reasonable and refuse to re-examine the case.
If the challenging party remains unsatisfied, they are able escalate to invalidity proceedings in court (at significantly higher cost)."
D1084,Court - PBR,"* Court decisions are binding and enforceable.

* You may be awarded a financial remedy to compensate you for the loss suffered because of the infringement.

* A court can order an infringer to stop infringing your PBR.

* Court proceedings allow cross-examination of witnesses and expert evidence.

* Multiple related issues (such as validity and infringement) can be resolved in one case.

* The seriousness and cost of court proceedings may encourage settlement.","* Outcomes are unpredictable and may not align with business interests.

* You may have to pay some or all of the other party's legal costs if unsuccessful.

* The other party may bring counterclaims, including challenges to your PBR.

* Proceedings are usually public, which may harm your reputation.

* You may be required to share sensitive business information through discovery.

* Cases can be lengthy, distracting you from running your business.

* Unwanted publicity may arise, especially if the case is seen as aggressive or is unsuccessful.",,,"* A PBR owner can start infringement proceedings.

* An exclusive licensee may also have the right to bring an infringement claim.

* A defendant in infringement proceedings can raise validity issues by counterclaim.
Note: A person whose interests are affected can apply to the Registrar to revoke a PBR",,There have been fewer than five substantive judicial judgments regarding Plant Breeder's Rights (PBR) enforcement or infringement in Australia in the years between 2015-2025.,"Possible outcomes will depend on the circumstances and the type of claim. They may include:
* A negotiated settlement between the parties.

* Revocation of the PBR in whole or in part (by a counterclaim in court, or by the Registrar on application by a person whose interests are affected).

* Injunctions ordering the alleged infringer to stop infringing the PBR, including temporary (interlocutory) injunctions.

* Damages or compensation awarded to the PBR owner, or an account of profits (but not both).

* Additional damages awarded in appropriate cases.

* Orders on payment of legal costs by one or both parties.

* Mixed results, where some claims succeed but others fail.
It is possible to have a mixed result. For example, a court might agree that some of the other party's conduct infringes your PBR, but that other conduct does not.
Courts also have powers to make other types of orders as part of the outcome.
You or the other party or parties may be able to appeal the decision."
D1080,Hiring a professional,,,,,,,,
E1020,IP in other countries,,,,,,,,
101-9,Infringement 101,,,,,,,,
B1020,Trade mark non-use action,"* A successful application to remove a trade mark from the register removes the other party's rights to the trade mark that is allegedly being infringed.

* It can a simple, fast and low-cost option when a registered trade mark in question. If your application to remove a trade mark on the basis of non-use is unopposed, your request will be actioned following the two-month opposition period.

* In about 60% of cases, removal applications will not lead to an adversarial process, as those who are genuinely not using their trade marks typically do not oppose the application for removal.

* This process is also accessible without professional assistance required, though IP professionals are commonly used.","* When applying to remove the other party's trade mark from the register on the basis of non-use, the owner of the trade mark will be notified of your application and details within one month of filing. You should consider your overall strategy and if you are comfortable having the other party be aware of your identity and actions.

* Due to the public nature of these procedures there is a risk of public scrutiny, exposure of sensitive information, negative publicity or reputational damage. The decision to submit an application to remove the other party's trade mark should be considered as part of your IP or brand protection strategy.

* Any person can oppose your request for removal within 2 months of the publishing date and tell IP Australia that they disagree that the trade mark has not been used. If you wish to respond to the opposition and establish that there is a case for removal based on non-use, this will lengthen the removal process and take up further cost, time and efforts.

* A party who is dissatisfied with IP Australia's decision can also appeal it to the Administrative Review Tribunal (ART), or Federal Courtorthe FederalCircuit and FamilyCourt, which could be highly time-consuming and costly.",,,Any person can file an application for removal or cessation of protection of a trade mark for non-use.,,"IP Australia received approximately 1,000-1,500 applications annually for removal for non-use over the 5-year period of 2019-2024.","If the application for removal is advertised and no one opposes it within the required time:
* The trade mark will be completely removed from the Register, or

* The trade mark will partially be removed from the Register, namely in relation to the goods and services as specified in your application for removal.
If the other party opposes your request to remove their trade mark within the two-month opposition period, you will be given one month to indicate that you will defend your application for removal from opposition.
The person opposing the removal of the trade mark is required to establish, by filing evidence, that they have used the trade mark for the goods and services which are the subject of the removal application or that there are other circumstances justifying the non-use of the mark.
IP Australia will follow the processes prescribed in the law to decide the outcome, which could be any of the following:
* The trade mark will be completely, or partially, removed from the Register (as above).

* The Registrar decides the trade mark should remain registered.

* In rare cases, the scope of the registered mark is limited in some way (e.g. to a specific territory)."
B1016,International disputes,"Responding with due consideration to overseas threats reduces risks of negative outcomes and may mean a more suitable response, limiting investment of resources as much as possible.
Should you choose to engage a local legal IP lawyer or IP attorney from the country where you have been accused of infringement, you may see the following benefits:
* In most cases, engaging an IP lawyer or IP attorney is likely to reduce the risks you may encounter in enforcing your IP rights.

* IP lawyers can provide a wide range of legal services and develop a holistic IP enforcement strategy suited to your IP and business goals, and IP attorneys can provide specialist IP advice in their areas of expertise such as trade marks or patents.

* They have the knowledge, training and experience in the relevant jurisdiction to guide you through a dispute or a conflict which can be highly stressful and draining.

* They have an in-depth knowledge of relevant legislation and industry practices surrounding IP in the relevant jurisdiction, with the ability to leverage both appropriately and proportionately.

* They are able to recognise common issues which come up and refer you to other professionals when needed.","* Failing to respond appropriately to accusations of overseas infringement can reduce your entitlement to some kinds of IP in overseas markets, your existing market presence and potential for future expansion.

* If you do not respond appropriately to accusations of infringement in foreign jurisdictions, there is a risk of having a court decision against you in the relevant jurisdiction, which may then be enforceable in Australia, jeopardising your interests and market position in the domestic market as well.

* Outcomes and costs can be less predictable in some jurisdictions than they would be in Australia.",,,Anyone.,,"As the IP system is international, it is not uncommon to be contacted by other parties who are based overseas. However, international scams are also common. For more information on assessing letters of demand and scamming, fraudulent activities concerning IP, see: 

Receiving a letter of demand

, 

Reporting a threat or a scam that you received

.",We have not provided indicative outcomes for this option guide because it encompasses a variety of situations that IP Australia does not have data on.
D1014,Alternative dispute resolution (ADR) ,"While this varies depending on the ADR process used, ADR generally offers the following benefits over more formal dispute resolution through the legal system or courts:
* Costs are lower than court proceedings

* Flexible and informal, as parties have control over shaping the process

* More easily narrow the scope of a dispute to the issues that matter to both sides

* Offers broader and more creative solutions

* Confidentiality, as decisions and records are not shared with the public

* Can have binding and enforceable outcomes in the form of contract or arbitral award.","* Relies on genuine engagement and willingness of parties to work out an agreement.

* Facilitators may not have an adequate skillset for resolving intellectual property disputes.

* The level of enforceability of outcomes and the availability of appeals or challenges may differ depending on the specific ADR process (for example, in some cases, a party may be able to have an arbitral award annulled or set aside, or a court may refuse to enforce to enforce an arbitral award in a limited number of circumstances).

* Without a binding agreement prior to the process, either party can withdraw from the process at any point in time, resulting in wasted time, money and effort.",,,"Anybody who is a party to a dispute, although some ADR processes will have additional requirements.
ADR generally requires engagement from both parties to the dispute. It can be easier to use ADR if:
* Parties agree to resolve their dispute through ADR. However, some ADR providers allow one party to initiate an ADR process even without agreement from the other party.

* There is a contract in place whereby parties agree to resolve disputes through ADR. You might wish to consider including ADR clauses in your contracts in case you would like to resolve any future IP disputes with your business partners through ADR.",,,"Outcomes of ADR will depend on the specific type of ADR processes used. Possible outcomes include:
* Parties successfully negotiating and reaching an agreement to resolve a dispute

* A binding decision such as an arbitral award or an enforceable agreement

* Further escalation into more formal dispute resolution processes such as litigation or administrative hearings

* Parties may withdraw from the ADR process prior to resolution of the dispute."
D1005,Court - Trade mark,"* If you succeed, a court can award damages or compensation for losses and costs (including, in some cases, an account of profits made by an infringer through their infringement).

* Court decisions are binding and enforceable.

* The other party cannot simply ignore your legal claim without consequences.

* You can often resolve several related matters in one case.

* Court can take into consideration a wide range of legal factors which may fall outside the scope of other decision-making bodies such as IP Australia's Opposition and Hearing processes.

* Court proceedings allow cross-examination of evidence and expert witnesses, which could be helpful for prosecuting your argument if you have a highly technical case.

* The gravity, expense, publicity and protracted nature of court proceedings can encourage the other party to negotiate or engage in other forms of dispute resolution to settle legal claims and avoid the court proceedings continuing.

* For infringement claims, a court can, in appropriate situations, make orders to prevent the other party from continuing to infringe your IP rights.","* The outcome can be unpredictable.

* While a court can determine matters of law, it may not be in the best interests of your business. Proving you are in the right, legally, may not be the same as making a good business decision.

* The other party to the legal action may make counterclaims or other legal claims against you.

* On top of paying your legal costs, you may be required to pay some (or all) of the legal costs of the other party or parties if you are wholly (or partially) unsuccessful.

* The outcome you obtain may not be as advantageous as an offer of settlement previously made to you.

* If you or your staff are required to provide evidence in court, this can be very stressful and time-consuming and distract from the operation of your business

* Court proceedings are usually public, so this option may not be suitable if confidentiality is important.

* You may be required to disclose information in the proceedings to the other party or parties that you may prefer to keep confidential.

* Court proceedings may attract unwanted publicity and potentially damage your reputation - particularly if you are unsuccessful or if your case is seen as unduly litigious.

* It can take a lot of time to prepare a legal claim and for proceedings to be finalised if the claim is not settled by the parties (see 'How much time might be involved?' below).

* You may not be able to bring a legal claim if you have agreed in a contract that you will use, or that you will first try, an alternative form of dispute resolution.",,,"For infringement actions, the owner of the registered trade mark usually starts the infringement action. However, an exclusive licensee or authorised user may also hold the right to start an action.
Other court actions can generally be taken by any aggrieved party with a relevant interest in the matter.",,"Trade mark proceedings are not particularly common in Australia because they can be expensive and time consuming for the parties involved. However, they are more common than some other types of intellectual property disputes like patent proceedings.
In the 2023-24 financial year, there were 77 trade mark filings in the Federal Court of Australia

2
Some trade mark proceedings are also started in State/Territory courts.","here are a wide range of possible outcomes, and these will also depend on the type of court action you might take. Some possible outcomes are:
* You might reach a negotiated settlement with the other party.

* The other party might not respond or participate in the court proceedings, in which case the court might decide in your favour.

* The other party's trade mark registration might be cancelled, removed or amended.

* The court might decide against you, in which case your trade mark registration could be cancelled, removed or amended and you may need to pay some or all of the other party's legal costs.

* You could be awarded damages or compensation.

* A court may, in appropriate situations, make orders to prevent an infringer from continuing to infringe your IP rights - including on a temporary basis while you are waiting for the court to hear your matter (seeSeek an urgent injunction).

* A decision made by IP Australia can be affirmed, reversed or varied.

* Some other outcome depending on what you have claimed (including, for example, if you have made other legal claims forpassing offor under the Australian Consumer Law).
In most cases, the outcome can be appealed to a higher court."
D1036,International disputes,"* In most cases, engaging a legal professional is likely to reduce the risks you may encounter in enforcing your IP rights in another country.

* Legal professionals can provide a wide range of legal services and develop a holistic IP enforcement strategy suited to your IP and business goals.

* They have the knowledge, training and experience in their country to guide you through a dispute or a conflict which can be highly stressful and draining.

* They have an in-depth knowledge of relevant international legislation and industry practices, with the ability to leverage both appropriately and proportionately.

* They are bound by codes of conduct, professional standards and ethical obligations to act in your best interests, stay away from conflicts of interests and unethical conduct.

* They can recognise common issues which come up and refer you to other professionals and services you may not be aware of.","* It can be complicated to enforce your IP overseas, which can cause pressure on you and your business.

* Outcomes and costs can be less predictable in some jurisdictions than they would be in Australia.

* Some legal professionals have different specialties and may be more effective in their particular field of expertise. For instance, one lawyer may be highly experienced in dealing with multi-national trade marks, but not so experienced with patent licencing deals, or vice versa.

* Once you engage a legal professional for their service, they are obliged to follow your instructions. While they can advise you on certain courses of action, you have the ultimate decision. Using a legal professional can lead to a false sense of security if you do not understand and pay heed to their advice.",,,,,,
D1006,Mediation ,"* Costs and duration of the process is generally quite low.

* Mediation can be conducted across different jurisdictions.

* Less adversarial than other procedures such as arbitration and court proceedings, helping you preserve your relationship with the other party by reducing emotional strain and preventing the discussions from being too heated.

* Flexible and informal, as parties have control over shaping the process.

* Parties can narrow the scope of a dispute to the issues that matter to both sides.

* Offers broad, productive or creative solutions to issues.

* Confidentiality, as the details of mediation and the resulting agreements reached are not publicly available, allowing parties to discuss commercially sensitive topics freely.

* Following a mediation outcome, it is open to the parties to the mediation to take further steps between them. This can include entering into a legally binding agreement that incorporates some or all of the outcomes from the mediation, provided the parties clearly intend and agree to it.

* Other enforcement processes often expect you to have negotiated in good faith before escalating (for example, a court is likely to require mediation be attempted before hearing a case).","* Relies on genuine engagement and willingness of parties to resolve issues.

* Facilitators may not have an adequate skillset for resolving complex intellectual property disputes.

* Outcomes may not be as easily enforceable as court or tribunal decisions, especially when parties have not clearly indicated that the outcome of the mediation is to be legally binding.",,,"Anybody who is a party to a dispute.
Mediation generally requires engagement from both parties to the dispute, though some mediation providers will allow a single party to submit a unilateral request for mediation and then encourage the other party to participate in mediation.",,,"Possible outcomes include:
* One party does not agree to engage in mediation

* Parties successfully negotiate and reach an agreement to resolve a dispute with help from a mediator

* Parties unable to reach an agreement and withdraw from the mediation process, with the possibility of one or more parties escalating the matter to other dispute resolution processes."
