UDID,HowTo_Name,Step_Name,Step_Description
D1018,"How to proceed with Seek binding, authoritative decisions",Consult an IP Lawyer,"Here are some things you might consider before you proceed with legal action in a

 

patent matter.
Find an IP lawyer for advice and representation

Court proceedings can be an expensive, time-consuming, stressful, complicated process that can have a serious impact on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one.
Consider your goals before deciding to start a legal claim

Going to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.
Consider the impact of publicity

Court proceedings are usually public. You should consider what impact this may have on your business. Unless they're covered by a confidentiality order, evidence and documents used in court will also become available to the public and no longer be confidential.
Gather all your documents

Before seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences or correspondence that you think might be relevant to your claim. You can give these to your lawyer to review."
D1017,How to proceed with Challenge a new or amended patent,Provide Patent Details,"Details of the patent you want to oppose, including the patent number and patent holder."
D1017,How to proceed with Challenge a new or amended patent,Identify Grounds for Patent Opposition,"Grounds for opposition, including (but not limited to), a lack of support or enablement(sections 40(2)(a), 40(3)of thepatents act), novelty or inventive step(section 7of thepatents act)."
D1017,How to proceed with Challenge a new or amended patent,Prepare and Review Evidence,"In cases where you are using evidence tosupport your opposition, that evidence must be collected and prepared. Refer toEvidence In Oppositions And PBR Objections | IP Australiafor more information about evidence.
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on"
D1017,How to proceed with Challenge a new or amended patent,Seek IP Assistance,getting professional assistance with your IP
D1017,How to proceed with Challenge a new or amended patent,Consult IPTA Resources,". In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free"
D1017,How to proceed with Challenge a new or amended patent,Schedule Consultation,30 minute consultations with an attorney
D1017,How to proceed with Challenge a new or amended patent,End the process,.
C1007,How to proceed with Explore opportunities by licensing  your IP,Explore IP Licensing Steps,"To explore licensing your IP, consider taking these steps before beginning:"
C1007,How to proceed with Explore opportunities by licensing  your IP,Validate IP Rights,Confirm your IP- Make sure your IP rights are valid and enforceable.
C1007,How to proceed with Explore opportunities by licensing  your IP,Identify Licensing Details,"Gather evidence and factual details- Identify what you're licensing, including registration numbers, territories and any existing rights or restrictions."
C1007,How to proceed with Explore opportunities by licensing  your IP,Identify Negotiation Parties,"Identify relevant parties- Search out and understand who you plan to negotiate with, and whether others (such as intermediaries) may need to be involved."
C1007,How to proceed with Explore opportunities by licensing  your IP,Understand Licensing Rules,"Review applicable rules- Understand legal principles around licensing, especially any obligations to maintain control of your IP and speak to an IP professional if you need assistance."
C1007,How to proceed with Explore opportunities by licensing  your IP,Consult Professional Services,Consider where you may use the assistance of various professional servicesand contact them to understand costs and other considerations before deciding.
D1001,How to proceed with Choose to rebrand to avoid potential IP conflicts,Review IP Enforcement Options,Review IP First Response resources to understand all your enforcement options. This helps you make an informed choice to weigh other options.
D1001,How to proceed with Choose to rebrand to avoid potential IP conflicts,Evaluate Costs and Timelines,Calculate the potential costs and timeline for different options actions.
D1001,How to proceed with Choose to rebrand to avoid potential IP conflicts,Consult an IP Professional,Identify which type of IP professional you may choose to consult and consider having initial conversations to understand their services and approach.
B1009,How to proceed with Challenge a granted patent ,Challenge a Patent's Validity,"Ensure you have a valid reasons for suggesting that a patent is invalid, such as a lack of novelty or inventive step (

section 7

 of the patents act), or a lack of support or enablement (

sections 40(2)(a), 40(3))

.
Supporting evidence (if any) - such as evidence of 

prior art

 existing before the 

priority date

 of the patent, which that may invalidate the patent.
Completed the relevant forms from the IPA website 

Request A Re-examination Of A Patent | IP Australia
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on

getting professional assistance with your IP

 . In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free

30 minute consultations with an attorney

 ."
D1084,"How to proceed with Seek binding, authoritative decisions",Consider Before Legal Action,There are some things you might consider before you proceed with legal action in a PBR matter.
D1084,"How to proceed with Seek binding, authoritative decisions",Consult an IP Lawyer,"Find an IP lawyer for advice and representationCourt proceedings can be an expensive, time-consuming, stressful, complicated process that can have a serious impact on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one."
D1084,"How to proceed with Seek binding, authoritative decisions",Evaluate Your Goals,Consider your goals before deciding to start a legal claimGoing to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.
D1084,"How to proceed with Seek binding, authoritative decisions",Evaluate Publicity Impact,"Consider the impact of publicityCourt proceedings are usually public. You should consider what impact this may have on your business. Unless they're covered by a confidentiality order, evidence and documents used in court will also become available to the public and no longer be confidential."
D1084,"How to proceed with Seek binding, authoritative decisions",Organize Relevant Documents,"Gather all your documentsBefore seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences or correspondence that helps to show what was sold, grown or distributed. It can be beneficial to organise these materials so that they show dates, sources, and how the suspected copying connects back to your variety, as courts often rely on orderly, traceable evidence. You can give these to your lawyer to review."
B1020,How to proceed with Request IP Australia remove an unused trade mark to defend your right,Submit Non-Use Application Form,"The application for removal/cessation of protection for non-use must be filed in an approved form. Complete 

this form

 when applying to have a registered trade mark removed from the register for non-use. This form is also used when applying for the cessation of protection of a protected international trade mark for non-use.
You can submit the completed form on the 

Manage my IP page

 of the IP Australia website."
B1016,How to proceed with Considerations when responding to international accusations,Consult International IP Office Directory,"The steps and procedures involved in how to respond to accusations of IP infringement from overseas would vary heavily depending on individual circumstances, laws and industry practices in the relevant overseas jurisdiction.
Some international IP offices provide information on enforcement in their jurisdictions and may have services to help you with dispute resolution or enforcement. You can find out the relevant IP office and what services they provide using the 

Directory of Intellectual Property Offices

."
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Choose the Right ADR Provider,"Before you engage in an ADR process, you should think about what type of ADR process would best suit your needs and find the appropriate ADR provider for the chosen process. There is a wide range of ADR providers, ranging from government and public-funded bodies to private practitioners. Here's a list of directories and ADR providers that may assist you in finding what type of ADR is most suitable for your case and the facilitator/s you would like to engage:"
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Access the Dispute Resolver Directory,The Resolution Institute's Dispute Resolver Directory list
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Access Dispute Resolution Resources,"The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and family enterprises with information about dispute resolution options, access to mediation and alternative dispute resolution processes."
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Utilize WIPO's Dispute Resolution Services,"The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediation, arbitration and expert determination to enable private parties to settle their international commercial disputes"
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Visit the Australian Centre for International Commercial Arbitration,The Australian Centre for International Commercial Arbitration (ACICA)
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Identify the Australian Disputes Centre,The Australian Disputes Centre (ADC)
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Seek Legal Advice,"Australian Copyright Counciloffers no-cost online legal advice for professional creators, arts organisations, affiliated organisations and educations institutions and libraries.
You can also seek help from IP professionals for advice on whether ADR would be suitable for your situation and to represent you throughout an ADR process. You can find a qualified IP attorney to assist you at:"
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,Locate an IP Attorney,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board
D1014,How to proceed with resolve conflicts with the help of experienced facilitators  ,End the process,.
D1005,"How to proceed with Seek binding, authoritative decisions",Evaluate Legal Action Considerations,"Here are some things you might consider before you proceed with legal action in a trade mark matter.
Finding an IP lawyer for advice and representation

Court proceedings can be an expensive, time-consuming, stressful, complicated process that can have serious impacts on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one.
Consider your goals before deciding to start a legal claim

Going to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.
Decide who you intend to commence proceedings against

More than one person can be liable for IP infringement. A legal representative can help you decide who should be a party to a dispute.
Consider the impact of publicity

Unless covered by a confidentiality order, evidence and documents read in open court will become available to the public.
Gather all your documents

Before seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences and correspondence that you think might be relevant to your case. You can give these to your lawyer to review."
D1036,How to proceed with Considerations before enforcing your IP overseas,Check International IP Rights,"Check international IP registers for someone else's rights
A critical step in assessing potential infringement is to ascertain if the suspected party holds any valid registered intellectual property rights that could provide them with legal rights in the country in which infringement is suspected.
You can perform an initial check yourself - read about searching international IP registers 

here

 - but you may need to hire a professional IP search service to do a complete search. The IP professionals listed below will often conduct these searches as part of their services as it will be a critical step to understand your position.
Contact a local representative or legal advisor in the relevant country

 

Seeking support from a local legal practitioner or IP professional may be necessary for some actions. A local representative can advise you on the options that are appropriate for you in the relevant countries, and will have the legal authority to represent you in that country."
D1036,How to proceed with Considerations before enforcing your IP overseas,Consult Australian IP Professionals,Australian IP professionals with relevant international experience may be able to refer you to an overseas representative.
D1036,How to proceed with Considerations before enforcing your IP overseas,Coordinate International Legal Actions,Australian law firms often have offices operating internationally which can coordinate actions for you across each country.
D1036,How to proceed with Considerations before enforcing your IP overseas,Consult IP Professional Resources,"Government resources or reputable industry associations in the relevant country may provide a list of IP professionals you can contact.
While it may be useful to seek the advice of an"
D1036,How to proceed with Considerations before enforcing your IP overseas,Consult an IP Lawyer,IP legal professional
D1036,How to proceed with Considerations before enforcing your IP overseas,Consult a Legal Expert,"(who can start legal actions such as court in the jurisdiction), you might also wish to consult an"
D1036,How to proceed with Considerations before enforcing your IP overseas,Identify IP Professional,IP strategic or commercialisation professional
D1036,How to proceed with Considerations before enforcing your IP overseas,Consult with an IP Professional,"about your general IP strategy including ways to protect and commercialise your IP overseas.
Part of enforcing your rights in other countries, even in response to current suspected infringement, may involve registering your IP in another country. This consideration can be discussed with an IP professional familiar with the IP system in that country.
See what services the local IP office provides"
D1036,How to proceed with Considerations before enforcing your IP overseas,Consult International IP Offices,Some international IP offices provide information on enforcement in their jurisdictions and may have services to help you with dispute resolution or enforcement. You can find out the relevant IP office and what services they provide using the
D1036,How to proceed with Considerations before enforcing your IP overseas,Access IP Office Directory,Directory of Intellectual Property Offices
D1036,How to proceed with Considerations before enforcing your IP overseas,End the process,.
D1006,How to proceed with Resolve IP issues with the help of a third party,Choose the Right Mediator,"Before you engage in mediation, you should think about whether mediation is a suitable dispute resolution method for your situation and what kind of mediator would suit your needs best.
How do I choose the right mediator?
It can be helpful to consider these questions when selecting a mediator to help ensure they are right for you:"
D1006,How to proceed with Resolve IP issues with the help of a third party,Choose Mediation Role,"Would the parties like the mediator to provide a neutral evaluation of their dispute, or act as a facilitator of their negotiations?"
D1006,How to proceed with Resolve IP issues with the help of a third party,Specify Mediator Qualifications,What are the desirable professional qualifications and specialist experience of the mediator?
D1006,How to proceed with Resolve IP issues with the help of a third party,Evaluate Mediator Expertise,"Is it more important for the mediator to have experience in the subject matter of the dispute, or the process of mediation itself?"
D1006,How to proceed with Resolve IP issues with the help of a third party,Determine Mediator Requirements,"Is more than one mediator required? For example, do the parties come from different cultural and linguistic backgrounds? Or would it be beneficial to have both a technical expert and a mediation specialist as co-mediators?"
D1006,How to proceed with Resolve IP issues with the help of a third party,Identify Mediation Providers,"Does a conflict of interest exist?
There is a wide range of mediation providers, ranging from government and public-funded bodies to private practitioners. Here's a list of directories and mediation providers that may assist you in finding a mediator you would like to engage:"
D1006,How to proceed with Resolve IP issues with the help of a third party,Access the Dispute Resolver Directory,The Resolution Institute's Dispute Resolver Directory list
D1006,How to proceed with Resolve IP issues with the help of a third party,Access Dispute Resolution Resources,"The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and family enterprises with information about dispute resolution options, access to mediation and alternative dispute resolution processes."
D1006,How to proceed with Resolve IP issues with the help of a third party,Explore WIPO ADR Options,"The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediation, arbitration and expert determination to enable private parties to settle their international commercial disputes. For more information, seeWIPO ADR Options."
D1006,How to proceed with Resolve IP issues with the help of a third party,Access the Arbitration Centre,theAustralian Centre for International Commercial Arbitration
D1006,How to proceed with Resolve IP issues with the help of a third party,Review the Standards,theMediator Standards Board
D1006,How to proceed with Resolve IP issues with the help of a third party,Contact Small Business Commissions,"theAustralian Disputes Centre
The Small Business Commissions in most states and territories can also assist with resolving business related disputes. They offer a variety of services to assist small business including low-cost mediation services."
D1006,How to proceed with Resolve IP issues with the help of a third party,Contact the Commission,Victorian Small Business Commission
D1006,How to proceed with Resolve IP issues with the help of a third party,Contact the Commissioner,New South Wales Small Business Commissioner
D1006,How to proceed with Resolve IP issues with the help of a third party,Contact the Commissioner,South Australian Small Business Commissioner
D1006,How to proceed with Resolve IP issues with the help of a third party,Register your business,Western Australia Small Business Development Corporation
D1006,How to proceed with Resolve IP issues with the help of a third party,Contact a specialist dispute resolution service,"Queensland Small Business Commissioner
For some types of disputes related to copyright or licensing, there may be specialist dispute resolution services available. For example:"
D1006,How to proceed with Resolve IP issues with the help of a third party,Access ADR Services,the Arts Law Centre of Australiahas access to a panel of mediators and experts who can provide low-cost ADR services to artists and arts organisations who subscribe to Arts Law.
D1006,How to proceed with Resolve IP issues with the help of a third party,Seek ADR Guidance,"Resolution Pathwaysis a service available to music creators and music users disputing their interactions with, APRA AMCOS and/or OneMusic Australia, as well as, in limited circumstances, disputes between music creators.
You can also seek help from IP professionals to obtain advice on whether ADR would be suitable for your situation and represent you throughout an ADR process. You can find a qualified IP attorney to assist you at:"
D1006,How to proceed with Resolve IP issues with the help of a third party,Locate an IP Attorney,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board
D1006,How to proceed with Resolve IP issues with the help of a third party,End the process,.
D1002,How to proceed with Stop infringing goods entering the country,Lodge Notice of Objection,"To lodge a Notice of Objection under the 

Trade Marks Act 1995

, you will require the following:"
D1002,How to proceed with Stop infringing goods entering the country,Complete Notice of Objection Form,A completed Notice of Objection form (B1025).
D1002,How to proceed with Stop infringing goods entering the country,Provide trademark registration evidence,"Evidence of trade mark registration from IP Australia (for example, a copy of the registration certificate or a copy of an Australian Trade Mark Search report)."
D1002,How to proceed with Stop infringing goods entering the country,Complete the Deed of Undertaking form,A completed Trade Marks Act 1995 Security Under Section 133 - Deed of Undertaking form.
D1002,How to proceed with Stop infringing goods entering the country,Provide authorization letter,"If you are an authorised user or importer - an authorisation letter from the registered trade mark's owner.
To lodge a Notice of Objection under the"
D1002,How to proceed with Stop infringing goods entering the country,Refer to Copyright Act 1968,Copyright Act 1968
D1002,How to proceed with Stop infringing goods entering the country,Gather Materials,", you will require:"
D1002,How to proceed with Stop infringing goods entering the country,Submit Notice of Objection Form,A completed Notice of Objection form (B470).
D1002,How to proceed with Stop infringing goods entering the country,Obtain Authorization Letter,If you are a company authorised by the copyright owner to file the Notice on their behalf - a letter (or multiple - if more than one copyright owner) of authorisation from the copyright owner/s (for any copyright material covered that is not owned by the company lodging the Notice).
D1002,How to proceed with Stop infringing goods entering the country,Mail the original deed,"A completed Copyright Act 1968 Security Under Section 135 - Deed of Undertaking form (B466). The original deed must be mailed to the Department of Immigration and Border Protection.
You can find more information in the ABF Guide to lodging a"
D1002,How to proceed with Stop infringing goods entering the country,Submit Objection Notice,Notice of Objection.
B1005,How to proceed with Register your trade mark,Set Up Account and Evaluate Trade Mark,"You will need to set up an account with IP Australia's Online Services. There is a 

step-by-step guide

 to applying for an Australian trade mark on our website.

You don't need a lawyer to apply. However, if you would like support in making your application, you can contact an IP professional such as a registered trade mark attorney via 

Find an IP attorney or firm | Trans-Tasman IP Attorneys Board

. IP professionals such as trade mark attorneys or IP lawyers can help you evaluate if applying for a trade mark is likely to resolve any current issues.

You will need an address for service in Australia or New Zealand. This just means a postal address where you can be reached.

Before applying, consider using TM Checker, a free online trade mark checking tool to check the registrability of your potential trade mark. TM Checker can be accessed here: 

TM Checker"
D1029,How to proceed with Resolve IP issues with the help of a third party,Evaluate Arbitration Suitability,"Before you engage in arbitration, you should think about whether arbitration is a suitable dispute resolution method for your situation and which arbitration types would suit your needs best.
Some questions to consider before you take your dispute to arbitration:"
D1029,How to proceed with Resolve IP issues with the help of a third party,Check for existing arbitration clause,Is there an existing contractual relationship between the parties which requires them (such as through an arbitration clause) to take disputes to a specific arbitral institution?
D1029,How to proceed with Resolve IP issues with the help of a third party,Assess Arbitration Agreement Likelihood,"If not, is the other party likely to agree to take the dispute to an arbitrator or an arbitral institution?"
D1029,How to proceed with Resolve IP issues with the help of a third party,Assess Technical Expertise Requirement,Does the dispute concern a highly technical matter which would benefit from having a decision-maker with a high level of expertise in the specific sector or technology?
D1029,How to proceed with Resolve IP issues with the help of a third party,Determine Arbitrability of Dispute,"Is the subject matter of the dispute considered arbitrable in relevant jurisdictions? Though most areas of IP are considered arbitrable in many jurisdictions, questions relating to validity or registrability of intellectual property are deemed as non-arbitrable in some jurisdictions."
D1029,How to proceed with Resolve IP issues with the help of a third party,Evaluate Alternative Hearing Benefits,Is there a clear benefit that can be achieved from having the matter heard under procedural and evidence rules different from those of court proceedings?
D1029,How to proceed with Resolve IP issues with the help of a third party,Determine Arbitrator Requirements,"Is more than one arbitrator required? For example, do the parties come from different cultural and linguistic backgrounds? Or would it be beneficial to have both a technical expert and a legal practitioner as co-arbitrators?
There is a wide range of arbitrators and arbitral institutions, ranging from public-funded bodies to private practitioners. Here's a list of directories and arbitral institutions that may assist you in finding an arbitrator/s you would like to engage:"
D1029,How to proceed with Resolve IP issues with the help of a third party,Access the Dispute Resolver Directory,The Resolution Institute's Dispute Resolver Directory list.
D1029,How to proceed with Resolve IP issues with the help of a third party,Access Dispute Resolution Services,"The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and family enterprises with information about dispute resolution options, access to mediation and alternative dispute resolution processes including arbitration."
D1029,How to proceed with Resolve IP issues with the help of a third party,Explore WIPO ADR Services,"The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediation, arbitration and expert determination to enable private parties to settle their international commercial disputes. For more information, seeWIPO ADR options."
D1029,How to proceed with Resolve IP issues with the help of a third party,Visit the Australian Centre for International Commercial Arbitration,theAustralian Centre for International Commercial Arbitration.
D1029,How to proceed with Resolve IP issues with the help of a third party,Consult a Qualified IP Attorney,"theAustralian Disputes Centre.
You can also seek help from legal professionals to seek advice on whether arbitration or other forms of ADR would be suitable for your situation and represent you throughout the dispute resolution process. You can find a qualified IP attorney to assist you at:"
D1029,How to proceed with Resolve IP issues with the help of a third party,Locate IP Attorney,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board
D1029,How to proceed with Resolve IP issues with the help of a third party,End process,.
D1030,How to proceed with Seek a court order to prevent further damage while preparing for court.,Provide Strong Infringement Evidence,"Evidence of infringement. While the threshold for an urgent injunction is lower than for a final decision, you still need strong evidence outlining both the infringement and the urgency of the matter."
D1030,How to proceed with Seek a court order to prevent further damage while preparing for court.,Provide Urgency Evidence,Evidence of urgencyof the matter and the reason you need the other party to stop their activity immediately.
D1030,How to proceed with Seek a court order to prevent further damage while preparing for court.,Consult a Legal Practitioner,"Find a legal practitioner for advice and representation. Court proceedings can be a stressful, complicated process that can have serious impacts on you and your business. The vast majority of cases will utilise legal professionals/practitioners to help navigate the serious and complex matters and processes associated with court proceedings. Additionally, corporationsmustbe represented by a lawyer in civil proceedings in the courts."
C1006,How to proceed with Help customers differentiate between your products and lookalikes  ,Identify Unique Selling Points,A clear understanding of what makes your product or brand distinctive.
C1006,How to proceed with Help customers differentiate between your products and lookalikes  ,Understand Your IP Rights,Knowledge of your IP rights and what aspects are protected.
C1006,How to proceed with Help customers differentiate between your products and lookalikes  ,Identify Educational Touchpoints,"Customer touchpoints where educational messages can be placed (for example, website, packaging, social media)."
C1006,How to proceed with Help customers differentiate between your products and lookalikes  ,Consult an IP Professional,Optional: Access to an IP professional to help understand what aspects of your business are protected by your IP.
C1006,How to proceed with Help customers differentiate between your products and lookalikes  ,Request Marketing or Design Support,Optional: Marketing or design support to build customer-friendly materials.
B1006,How to proceed with Respond to an opposition filed against your trade mark,Submit Notice of Intention to Defend,"You can respond to an opposition by submitting a notice of intention to defend on IP Australia's 

Online Services portal

 within the deadline set out in the opposition notice. You will then be required to regularly check the same portal for updates and directions.

Depending on the grounds on which your application is being opposed, you may need to provide documents, details or other types of supporting evidence to support your defence. More information can be found on the IP Australia website regarding the types of evidence that would help your case and formal requirements for evidence: 

Evidence In Oppositions And PBR Objections | IP Australia

."
Dxxxx,How to proceed with StopInfringementFacilitatedOnline,Check Multiple Platforms for Infringement,"If you have detected infringement on an online platform, it is worth checking several platforms (such as all those listed above) to see if infringement is taking place elsewhere.
Different online platforms have different requirements for making IP complaints and takedown requests.
You will usually need:"
Dxxxx,How to proceed with StopInfringementFacilitatedOnline,Collect Infringement Evidence,"Evidence such as screenshots, product listings, and any other documentation that clearly demonstrates the infringement. Refer toEvidence you can collect about infringements."
Dxxxx,How to proceed with StopInfringementFacilitatedOnline,Verify IP Ownership and Compliance,"Evidence that you are the legitimate owner of the IP. Some platforms require you to have a registered IP right for you to access their brand protection and complaint mechanisms. You may consider applying for a registered IP right to access these procedures and prevent future infringements and protect your ideas, products and branding.
Note that if you do not provide sufficiently accurate information, your takedown application may be rejected and the whole process would be delayed.
For matters involving copyright infringement online, before issuing a takedown notice, copyright owners should check that the user does not have a valid reason to use the material in question (for example a valid license or a 'fair dealing' use permitted as an exception to copyright under the Copyright Act). More information about when using copyright material is allowed is provided on the"
Dxxxx,How to proceed with StopInfringementFacilitatedOnline,Report Copyright Infringement,copyrightinfringement page
Dxxxx,How to proceed with StopInfringementFacilitatedOnline,End the sentence,.
D1005,"How to proceed with Seek binding, authoritative decisions",Evaluate Legal Action Considerations,"Here are some things you might consider before you proceed with legal action in a trade mark matter.
Finding an IP lawyer for advice and representation

Court proceedings can be an expensive, time-consuming, stressful, complicated process that can have serious impacts on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one.
Consider your goals before deciding to start a legal claim

Going to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.
Decide who you intend to commence proceedings against

More than one person can be liable for IP infringement. A legal representative can help you decide who should be a party to a dispute.
Consider the impact of publicity

Unless covered by a confidentiality order, evidence and documents read in open court will become available to the public.
Gather all your documents

Before seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences and correspondence that you think might be relevant to your case. You can give these to your lawyer to review."
D1013,How to proceed with Coverage against potential future costs related to infringement,Gather IP Information and Research Insurers,"Make sure you have all the relevant information regarding your IP right, including any R&D and prior dealings.
It may be beneficial to have a preferred legal counsel.
You will also need to research, identify and compare insurers before making a decision."
C1014,How to proceed with Register your right to use your design exclusively,Provide detailed visuals,High‑quality drawings (or photographs) that clearly show all views of the design.
C1014,How to proceed with Register your right to use your design exclusively,Enter the product's generic name,The generic name of the product.
C1014,How to proceed with Register your right to use your design exclusively,Provide ownership proof,Details proving you own the design (for example design brief or commissioning agreement).
C1014,How to proceed with Register your right to use your design exclusively,Create an IP Australia Account,An IP Australia Online Services account and a valid payment method.
C1014,How to proceed with Register your right to use your design exclusively,Allocate fees budget,"Budget for application, examination and renewal fees."
C1014,How to proceed with Register your right to use your design exclusively,Seek Professional Advice,Consideration of professional advice before filing.
C1014,How to proceed with Register your right to use your design exclusively,Review registered designs and seek assessment assistance,You may also wish to review other registered designs or seek help to assess the strength of your design right application.
D1003,How to proceed with Access help tailored to resolve business disputes,Review the Assistance Charter,"An understanding of what you can expect when dealing with ASBFEO by reading their 

Assistance Charter."
B1021,How to proceed with Request confirmation that someone else's registered design is valid,Enter design number,Registered design number.
B1021,How to proceed with Request confirmation that someone else's registered design is valid,Pay the examination fee,Ability to pay the examination fee.
B1021,How to proceed with Request confirmation that someone else's registered design is valid,Consult an IP Lawyer,Consider whether to get help from an IP lawyer or IP attorney.
B1021,How to proceed with Request confirmation that someone else's registered design is valid,Retain Documentation,Keep copies of all correspondence and the certificate of examination.
B1018,How to proceed with Oppose an IP infringement notice from an online marketplace ,Provide IP Registration Evidence,A copy of your IP registration or evidence of use.
B1018,How to proceed with Oppose an IP infringement notice from an online marketplace ,Send Takedown Notice Email,The takedown notice or removal email with reference numbers.
B1018,How to proceed with Oppose an IP infringement notice from an online marketplace ,Capture comparison screenshots,Screenshots of the original listing and the allegedly infringing content.
B1018,How to proceed with Oppose an IP infringement notice from an online marketplace ,Submit Infringement Counter Notices,"Knowledge of each platform's process, for example:Amazon: Using theAccount Health Pageto provide evidence against a notice or warning for infringement.eBay: file aVeROcounter notice via email or the provided form (NOCI). Etsy: use ""What to Do if You Receive a Notice of Intellectual Property Infringement""page and contact the rights owner directly. Shein: submit via ""IP Notice"" portal at SheinIPP."
B1018,How to proceed with Oppose an IP infringement notice from an online marketplace ,Record communications log,"A log of all communications, submissions and platform decisions."
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Evaluate IP Infringement Claims,"Understanding what constitutes IP infringement, and possible consequences of contacting a suspected infringer, can help you decide if this is the right option for you.
It's important to get all the factual details correct and evaluate the merits of your claims before you reach out to the other party. 

Making unjustified claims of IP infringement can have serious consequences. If you are found to have made an unjustified threat, you might be liable to pay damages or compensate the other party or you may be ordered to stop making the threat.
For more information about how someone can take action against unjustified threats through the courts, please review 

Respond to an unjustified threat | IP Australia First Response
Here are some things you might wish to check and consider before talking to the other party you should consider engaging an IP lawyer or IP attorney to work through these issues with you:"
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Verify IP Status and Registrations,"The status and details of the relevant IP in the jurisdiction where suspected infringement occurred. This includes checking the status of your IP registrations, and whether the alleged infringer has registered IP rights with IP Australia or overseas IP offices."
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Evaluate Infringement and Scope of Protection,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks like, to avoid making unjustified threats. For registered IP, it's worth considering the 'scope of protection' of your registered claim. For trade marks, this includes the goods or services attached to your registration, and whether the other party is offering similar goods and services. For patents, it includes whether the product or process contains all the essential features of a claim in a granted patent. For designs, the scope of protection would require consideration of not only the visual appearance of the product but the tangible physical product (e.g. a chair, a bottle, etc.) that the design is applied to. Please note:a design right can only be enforced if the right is also certified. For more information please seeRequest certification for your registered design | IP Australia First Response"
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Identify Suspected Infringer,"The identity and contact details of the suspected infringer. It's important to make sure you speak to the correct party.
If you are not sure about any of the above, then you might want to speak to an IP professional for help.
Before taking this action, it might also be helpful to consider your goals and potential outcomes, including:"
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Identify Mutually Beneficial Outcomes,Options for outcomes that would benefit or be agreeable to everyone involved.
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Assess Willingness for Further Engagement,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes with the other party. If you threaten to do something and do not follow through, it could be found to be an unjustified threat."
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Assess IP Commercialization Strategy,"Your plans to commercialise and promote your IP, and whether making informal contact could undermine (or strengthen) these."
D1033,How to proceed with Provide an opportunity for the other party to stop infringing.,Engage Amicably,"Ways you can engage in an amicable, productive conversation with the other party."
