Service Name,UDID,Diff Check Results,Field Path,Original Placeholder,Context Snippet,Generated Value
Monitor the trade mark register and market for competitor activity,C1013,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Plan for next steps if you find a conflictDevelop a strategy to manage your IP | IP Australia First ,Develop a Conflict Management Strategy
Register your right to use your design exclusively,C1014,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,High‑quality drawings (or photographs) that clearly show all views of the design.,Provide clear design visuals
Register your right to use your design exclusively,C1014,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The generic name of the product.,Enter the product's generic name
Register your right to use your design exclusively,C1014,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Details proving you own the design (for example design brief or commissioning agreement).,Provide Ownership Details
Register your right to use your design exclusively,C1014,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,An IP Australia Online Services account and a valid payment method.,Create an IP Australia Account
Register your right to use your design exclusively,C1014,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Budget for application, examination and renewal fees.",Budget for fees
Register your right to use your design exclusively,C1014,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Consideration of professional advice before filing.,Seek Professional Advice
Register your right to use your design exclusively,C1014,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,You may also wish to review other registered designs or seek help to assess the strength of your des,Review registered designs and seek assessment assistance
Apply for a patent to protect your invention from being copied ,C1015,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"A clear description of your invention-what it is, how it works, and how it's different.",Describe Your Invention
Apply for a patent to protect your invention from being copied ,C1015,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,A decision on whether to file a provisional or standard application.,Choose Application Type
Apply for a patent to protect your invention from being copied ,C1015,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,An account with IP Australia's online services.,Create an IP Australia Account
Apply for a patent to protect your invention from being copied ,C1015,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Budget to pay application and examination fees.,Allocate funds for fees
Apply for a patent to protect your invention from being copied ,C1015,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Optional: get help from a registered patent attorney.,Consult a Patent Attorney
Apply for a patent to protect your invention from being copied ,C1015,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,A plan for international protection if you need overseas rights.,Establish International Protection Plan
DEVELOP A STRATEGY TO MANAGE YOUR IP,C1019,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,IP strategies can vary in its scope and complexity depending on a wide range of factors such as the ,Conduct an IP Audit
Check your design against existing designs ,C1020,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Clear images or representations of your design.,Provide Design Visuals
Check your design against existing designs ,C1020,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Details of the products the design will be applied to.,Specify Product Details
Check your design against existing designs ,C1020,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Access toAustralian Design Search.,Access Australian Design Search
Check your design against existing designs ,C1020,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"If you are targeting overseas markets, plan to search relevant overseas databases of the market you ",Search Overseas Intellectual Property Databases
Check your design against existing designs ,C1020,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Check the legal status of any relevant designs (registered, certified, expired). Only design rights ",Verify Legal Status of Design Rights
Check your design against existing designs ,C1020,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Dated records of your search results for future reference.,Record Search Results
Choose to rebrand to avoid potential IP conflicts,D1001,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Review IP First Response resources to understand all your enforcement options. This helps you make a,Review Enforcement Resources
Choose to rebrand to avoid potential IP conflicts,D1001,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Calculate the potential costs and timeline for different options actions.,Estimate Costs and Timeline
Choose to rebrand to avoid potential IP conflicts,D1001,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Identify which type of IP professional you may choose to consult and consider having initial convers,Consult an IP Professional
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"To lodge a Notice of Objection under the 

Trade Marks Act 1995

, you will require the following:",Lodge Notice of Objection
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,A completed Notice of Objection form (B1025).,Complete the Notice of Objection form
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Evidence of trade mark registration from IP Australia (for example, a copy of the registration certi",Provide trademark registration evidence
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,A completed Trade Marks Act 1995 Security Under Section 133 - Deed of Undertaking form.,Complete the Deed of Undertaking form
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,If you are an authorised user or importer - an authorisation letter from the registered trade mark's,Provide authorization letter
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Copyright Act 1968,Acknowledge Copyright Act 1968
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,", you will require:",Gather necessary materials
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,A completed Notice of Objection form (B470).,Submit Notice of Objection Form
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,If you are a company authorised by the copyright owner to file the Notice on their behalf - a letter,Obtain Authorization Letter
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,A completed Copyright Act 1968 Security Under Section 135 - Deed of Undertaking form (B466). The ori,Mail the original deed
Stop infringing goods entering the country,D1002,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,Notice of Objection.,Submit Objection Notice
Access help tailored to resolve business disputes,D1003,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"An understanding of what you can expect when dealing with ASBFEO by reading their 

Assistance Chart",Read the Assistance Charter
Access help tailored to resolve business disputes,D1003,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"An understanding of what you can expect when dealing with ASBFEO by reading their 

Assistance Chart",Review the Assistance Charter
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,The ability to pay the required fees.,Pay the fees
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,To read and understand the Schedule A and B of theauDRP.,Review Schedule A and B of theauDRP
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"To have your submission accepted by the resolution provider, it needs to include the information set",Include Required Information for Submission
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,You must own the rights to the trade mark or name.,Verify Ownership Rights
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,The .au domain name being contested is identical to the trade mark or confusingly similar.,Verify Domain Name Similarity
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,The .au registrant/domain name holder does not own any rights or have a legitimate interest in the d,Verify Registrant Rights
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"The .au registrant has registered and used the domain name in bad faith.
The",Identify Bad Faith Registration
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,auDRP,Submit a domain dispute
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,"provides guidance on what information can be used to meet these criteria.
Before you take any action",Seek Legal and Professional Advice
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,getting professional assistance with your IP,Seek IP Assistance
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,". In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free",Explore IPTA Resources
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[11].name,xXx_PLACEHOLDER_xXx,30 minute consultations with an attorney,Schedule Consultation
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[12].name,xXx_PLACEHOLDER_xXx,.,End the process
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[13].name,xXx_PLACEHOLDER_xXx,Copyright owners who work in creative industries may potentially be eligible to seek low- or no-cost,Seek Legal Advice
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[14].name,xXx_PLACEHOLDER_xXx,Arts Law Centre of Australia,Consult Arts Law Centre
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[15].name,xXx_PLACEHOLDER_xXx,or no-cost advice from the,Seek Free Advice
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[16].name,xXx_PLACEHOLDER_xXx,Australian Copyright Council,Consult the Australian Copyright Council
Dispute a domain name that infringes your trade mark,D1004,Pass,root.mainEntity[1].step[17].name,xXx_PLACEHOLDER_xXx,.,End the sentence
"Seek binding, authoritative decisions",D1005,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Here are some things you might consider before you proceed with legal action in a trade mark matter.,Evaluate Legal Action Considerations
"Seek binding, authoritative decisions",D1005,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Here are some things you might consider before you proceed with legal action in a trade mark matter.,Evaluate Legal Action Considerations
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Before you engage in mediation, you should think about whether mediation is a suitable dispute resol",Choose the Right Mediator
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Would the parties like the mediator to provide a neutral evaluation of their dispute, or act as a fa",Choose Mediation Role
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,What are the desirable professional qualifications and specialist experience of the mediator?,Identify Mediator Qualifications
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Is it more important for the mediator to have experience in the subject matter of the dispute, or th",Determine Mediator Expertise Priority
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Is more than one mediator required? For example, do the parties come from different cultural and lin",Determine Mediator Requirements
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Does a conflict of interest exist?
There is a wide range of mediation providers, ranging from govern",Identify Mediation Providers
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,The Resolution Institute's Dispute Resolver Directory list,Access the Dispute Resolver Directory
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and fa,Access Dispute Resolution Resources
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediati,Explore WIPO ADR Options
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,theAustralian Centre for International Commercial Arbitration,Visit the Australian Centre for International Commercial Arbitration
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,theMediator Standards Board,Consult the Standards Board
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[11].name,xXx_PLACEHOLDER_xXx,"theAustralian Disputes Centre
The Small Business Commissions in most states and territories can also",Contact Small Business Commissions for Mediation
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[12].name,xXx_PLACEHOLDER_xXx,Victorian Small Business Commission,Contact the Commission
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[13].name,xXx_PLACEHOLDER_xXx,New South Wales Small Business Commissioner,Contact the Commissioner
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[14].name,xXx_PLACEHOLDER_xXx,South Australian Small Business Commissioner,Contact the Commissioner
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[15].name,xXx_PLACEHOLDER_xXx,Western Australia Small Business Development Corporation,Develop a Business Plan
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[16].name,xXx_PLACEHOLDER_xXx,"Queensland Small Business Commissioner
For some types of disputes related to copyright or licensing,",Consult Specialist Dispute Services
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[17].name,xXx_PLACEHOLDER_xXx,the Arts Law Centre of Australiahas access to a panel of mediators and experts who can provide low-c,Access ADR Services
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[18].name,xXx_PLACEHOLDER_xXx,Resolution Pathwaysis a service available to music creators and music users disputing their interact,Seek IP Professional Assistance
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[19].name,xXx_PLACEHOLDER_xXx,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,Locate an IP Attorney
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[20].name,xXx_PLACEHOLDER_xXx,.,End the process
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Before you engage in mediation, you should think about whether mediation is a suitable dispute resol",Choose the Right Mediator
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Would the parties like the mediator to provide a neutral evaluation of their dispute, or act as a fa",Choose Mediator Role
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,What are the desirable professional qualifications and specialist experience of the mediator?,Identify Mediator Qualifications
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Is it more important for the mediator to have experience in the subject matter of the dispute, or th",Evaluate Mediator Expertise
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Is more than one mediator required? For example, do the parties come from different cultural and lin",Determine the Need for Multiple Mediators
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Does a conflict of interest exist?
There is a wide range of mediation providers, ranging from govern",Identify Mediation Providers
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,The Resolution Institute's Dispute Resolver Directory list,Access the Directory
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and fa,Access Dispute Resolution Information
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediati,Explore WIPO ADR Options
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,theAustralian Centre for International Commercial Arbitration,'Access Arbitration Centre'
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,theMediator Standards Board,Review the Standards
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[11].name,xXx_PLACEHOLDER_xXx,"theAustralian Disputes Centre
The Small Business Commissions in most states and territories can also",Contact Small Business Commissions for Mediation
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[12].name,xXx_PLACEHOLDER_xXx,Victorian Small Business Commission,Contact the Commission
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[13].name,xXx_PLACEHOLDER_xXx,New South Wales Small Business Commissioner,Contact the Commissioner
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[14].name,xXx_PLACEHOLDER_xXx,South Australian Small Business Commissioner,Contact the Commissioner
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[15].name,xXx_PLACEHOLDER_xXx,Western Australia Small Business Development Corporation,Consult the Corporation
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[16].name,xXx_PLACEHOLDER_xXx,"Queensland Small Business Commissioner
For some types of disputes related to copyright or licensing,",Consult Specialist Dispute Resolution Services
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[17].name,xXx_PLACEHOLDER_xXx,the Arts Law Centre of Australiahas access to a panel of mediators and experts who can provide low-c,Access ADR Services
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[18].name,xXx_PLACEHOLDER_xXx,Resolution Pathwaysis a service available to music creators and music users disputing their interact,Seek IP Professional Assistance
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[19].name,xXx_PLACEHOLDER_xXx,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,Locate IP Attorney
Resolve IP issues with the help of a third party,D1006,Pass,root.mainEntity[1].step[20].name,xXx_PLACEHOLDER_xXx,.,End the sentence
Demand the other party stops infringing in writing,D1010,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Understanding what constitutes IP infringement, and possible consequences of contacting a suspected ",Evaluate IP Infringement Claims
Demand the other party stops infringing in writing,D1010,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The status and details of the relevant IP in the jurisdiction where infringement occurred. For regis,Check IP Status and Registration Details
Demand the other party stops infringing in writing,D1010,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks l",Assess Infringement and Identify Infringer
Demand the other party stops infringing in writing,D1010,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Whether there any other less confrontational and more informal ways to contact the other party befor,Explore Alternative Contact Methods
Demand the other party stops infringing in writing,D1010,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Options for outcomes that would benefit or be agreeable to everyone involved.,Identify Mutual Benefits
Demand the other party stops infringing in writing,D1010,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes w",Assess Willingness for Further Engagement
Choose not to act immediately ,D1011,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Review IP First Response resources to understand all your enforcement options, even if you're not us",Explore IP First Response Resources
Choose not to act immediately ,D1011,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Develop a clear strategy for when youwilltake future enforcement action. Your plan can outline speci,Define Enforcement Action Triggers
Choose not to act immediately ,D1011,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Calculate the potential costs and timeline for different enforcement actions. This helps you budget ,Estimate Costs and Timeline
Choose not to act immediately ,D1011,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Identify which type of IP professional you would consult if you choose to act. Consider having initi,Consult an IP Professional
Choose not to act immediately ,D1011,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Keep documentation of the infringement, including dates and evidence, to maintain a strong foundatio",Document the Infringement
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Do your homework before you meet

Your time is important and an expert's time can be expensive, so i",Prepare Before Meeting
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Learning more about IPand your specific IP type. Having some basic knowledge will help you to better,Understand Your IP Type
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Researching what your suspected infringers or competitors are doing in the market (including where t,Conduct Market and IP Research
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"To find a registered Australian trade mark or patent attorney, you can search the",Search for a registered attorney
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Trans-Tasman IP Attorneys Board directory: Find an IP attorney or firm | Trans-Tasman IP Attorneys B,Locate an IP Attorney
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,The Law Society of NSW,Identify the Organization
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,Law Institute Victoria,Identify the Institute
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,Queensland Law Society,Identify the Organization
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,The Law Society of Western Australia,Join the Law Society
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,The Law Society of South Australia,Identify the Law Society
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,The Law Society of Tasmania,'Contact the Law Society'
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[11].name,xXx_PLACEHOLDER_xXx,The Law Society of the ACT,Identify the Organization
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[12].name,xXx_PLACEHOLDER_xXx,"Law Society Northern Territory
The Arts Law Centre of Australia's website",Visit the Arts Law Centre of Australia Website
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[13].name,xXx_PLACEHOLDER_xXx,indicates that it maintains a national referral panel of arts and entertainment lawyers to which it ,Select an IP Lawyer
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[14].name,xXx_PLACEHOLDER_xXx,Here are some suggestions for choosing an IP lawyer or IP attorney for your IP:,Choose an IP Lawyer
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[15].name,xXx_PLACEHOLDER_xXx,Ask for recommendations from other business owners or members of your industry association.,Seek Recommendations
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[16].name,xXx_PLACEHOLDER_xXx,Ask how much you'll be charged and how long the service will take.,Inquire About Cost and Duration
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[17].name,xXx_PLACEHOLDER_xXx,Don't assume that all lawyers or IP attorneys specialise in the type of IP that you have.,Verify Attorney Specialization
Obtain legal advice on your enforcement options,D1012,Pass,root.mainEntity[1].step[18].name,xXx_PLACEHOLDER_xXx,Try to determine if you can establish a trusting relationship. If you don't feel comfortable sharing,Evaluate Trust and Consult an IP Lawyer
Coverage against potential future costs related to infringement,D1013,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Make sure you have all the relevant information regarding your IP right, including any R&D and prior",Gather Information and Research Insurers
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Before you engage in an ADR process, you should think about what type of ADR process would best suit",Choose the Right ADR Provider
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The Resolution Institute's Dispute Resolver Directory list,Access the Dispute Resolver Directory
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and fa,Access Dispute Resolution Resources
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediati,Utilize WIPO's Dispute Resolution Services
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,The Australian Centre for International Commercial Arbitration (ACICA),Identify ACICA
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,The Australian Disputes Centre (ADC),Identify the Australian Disputes Centre
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Australian Copyright Counciloffers no-cost online legal advice for professional creators, arts organ",Seek Legal Advice
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,Locate IP Attorney
resolve conflicts with the help of experienced facilitators  ,D1014,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,.,End process
Remove a trade mark from the register,D1015,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"The 

application for removal/cessation of protection for non-use

 must be filed in an approved for",Submit Non-Use Application
Challenge the registration of a new trade mark,D1016,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Read all the information relating totrade mark oppositionandthe formsrequired in the opposition proc,Review Trade Mark Opposition Information
Challenge the registration of a new trade mark,D1016,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Monitor theAustralian Trade Mark Search (ATMS)and spot conflicting trade marks within two months of ,Monitor Trade Marks for Conflicts
Challenge the registration of a new trade mark,D1016,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Gather evidence demonstrating your earlier trade mark use, registration or other legal basis.",Collect Trademark Evidence
Challenge the registration of a new trade mark,D1016,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Complete and submit online forms: notice of intention to oppose and Statement of Grounds and Particu,Submit Opposition Forms Online
Challenge the registration of a new trade mark,D1016,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Budget for official and professional fees.,Allocate Fees Budget
Challenge the registration of a new trade mark,D1016,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Keep copies of all filings, correspondence and evidence.",Retain Documentation
Challenge a new or amended patent,D1017,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Details of the patent you want to oppose, including the patent number and patent holder.",Provide Patent Details
Challenge a new or amended patent,D1017,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Grounds for opposition, including (but not limited to), a lack of support or enablement(sections 40(",Identify Grounds for Opposition
Challenge a new or amended patent,D1017,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"In cases where you are using evidence tosupport your opposition, that evidence must be collected and",Prepare and Evaluate Evidence
