UDID,Overtitle,Main-title,Description,Canonical-url,Entry-point,Relevant-ip-right,Estimate-cost,Estimated-effort,Resolution-rate,Archectype ,Provider,Publication-date,Last-updated,Additional-disclaimer,Keywords,Notes
D1002-EE,Notice of Objection,Stop infringing goods entering the country (easy english),Lodge a notice of objection with the Australian Border Force.,https://ipfirstresponse.ipaustralia.gov.au/options/stop-infringing-goods-entering-country-easy-english,"""Enforcement"", ""Proactive""","""Trade mark"", ""Copyright""",Free to lodge,Hours (to apply),More than 500 trade mark notices are currently in force,Government Service,Australian Border Force,,25/02/2026,Please Note: A Notice of Objection cannot act retrospectively  for goods/copies that have already been imported. ,"""Trade marks"", ""Border enforcement"", ""Notice of objection"", ""Infringing Goods Entering The Country"", ""Notice Objection""",
D1003,ASBFEO,Access help tailored to resolve business disputes,Australia Small Business & Family Enterprise Ombudsman (ASBFEO),https://ipfirstresponse.ipaustralia.gov.au/options/ASBFEO,"""Enforcement"", ""Accused""","""Any dispute""",Free (dispute resolution costs extra),"
Days to weeks",Up to 80% of cases resolved with ASBFEO's help  ,Government Service,Australian Small Business and Family Enterprise Ombudsman,28/02/2025,2/10/2025,Null,"""IP dispute"", ""ASBFEO"", ""Access Help Tailored To Resolve Business Disputes"", ""Business Family Enterprise"", ""Tailored Resolve Business""",
D1004,Domain Name Dispute (auDRP),Dispute a domain name that infringes your trade mark,Dispute a .au domain name that may infringe an IP right,https://ipfirstresponse.ipaustralia.gov.au/options/dispute-au-domain-name,"""Enforcement"", ""Accused""","""Trade mark"", ""Copyright"""," $2,000+ per domain, plus optional legal fees",Weeks to months, 40-50% of cases end in licence transfer,Non-Government Third-Party Authority,auDA,1/03/2025,2/12/2025,Null,"""Trade marks"", ""Domain name dispute"", ""Domain Name Dispute Audrp"", ""Dispute A Domain Name That Infringes Your Trade"", ""Infringe IP""",
D1005,Court - Trade mark,"Seek binding, authoritative decisions",Escalate a wide range of trade mark matters to court,https://ipfirstresponse.ipaustralia.gov.au/options/court-trade-marks,"""Enforcement""","""Trade mark"", ""Unregistered-tm""", $80k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority,Court,28/02/2025,5/09/2025,It is prudent to seek legal advice before deciding whether to start a court action. You will likely also need assistance from an IP lawyer should you decide to start a court action.   The timeframe is typically shorter if the matter is resolved through negotiations or a court-ordered mediation process. ,"""Trade marks"", ""Court proceedings"", ""Court - Trade Mark"", ""Binding Authoritative Decisions"", ""Wide Range Trade""",
D1006,Mediation ,Resolve IP issues with the help of a third party,Invite the other party to enter into mediation to agree to mutually acceptable agreement,https://ipfirstresponse.ipaustralia.gov.au/options/mediation,"""Enforcement"", ""Accused""","""Any dispute""","$3k-$5k per day, plus optional legal fees",Weeks to months,Variable,Commercial Third Party Service,Mediator,1/03/2025,17/10/2025,Null,"""IP dispute"", ""Mediation"", ""Contract terms"", ""Resolve IP Issues With The Help Of A"", ""Agree Mutually Acceptable""",
D1006-EE,Mediation ,Resolve ip issues help third party (easy english),Invite the other party to enter into mediation to agree to mutually acceptable agreement,https://ipfirstresponse.ipaustralia.gov.au/options/resolve-ip-issues-help-third-party-easy-english,"""Enforcement"", ""Accused""","""Any dispute""","$3k-$5k per day, plus optional legal fees",Weeks to months,Variable,Commercial Third Party Service,Mediator,,25/02/2026,Null,"""IP dispute"", ""Mediation"", ""Contract terms"", ""Resolve IP Issues With The Help Of A"", ""Agree Mutually Acceptable""",
D1010,Letter of demand,Demand the other party stops infringing in writing,Send a letter to infringing party notifying them of potential infringement,https://ipfirstresponse.ipaustralia.gov.au/options/demand-other-party-stops-infringing-writing,"""Enforcement""","""Any IP right""","$1,500- $10,000 (with legal representation)",Days to weeks,40% of patent holders find it effective to stop copying,Self-Help Strategy,Self-Help,28/02/2025,22/01/2026,"Before sending a letter of demand, you will need to be satisfied that the other party’s actions amount to infringement and it is recommended that you speak to an IP lawyer or an IP attorney. There can be serious consequences if you send a letter of demand with no basis including a risk that the party you sent the letter of demand to may sue you. IP laws include ‘unjustified threat’ provisions (also referred to as ‘groundless threats’ in copyright law) under which you might be liable to pay damages/compensation or you may be ordered to stop making the threat. For more information about what constitutes an infringement, see our information on what infringement can look like. An IP professional can help you make this assessment and draft the letter. Please note that sending a letter of demand before consulting with an IP professional may result in detrimental outcomes for you and your IP right. Please consider carefully if you want to undertake this action and are fully aware of the risks involved.  A letter of demand will also usually be more effective if it is sent by an IP lawyer or IP attorney on your behalf, rather than you sending it personally. However, you may want to consider the cost of obtaining this legal assistance against the monetary value of any compensation or licence fee you are seeking.  ","""Intellectual property rights"", ""Letter of demand"", ""Demand The Other Party Stops Infringing In Writing"", ""Infringing Party Notifying"", ""Demand Demand""",
D1011,Guage the situation  ,Choose not to act immediately ,Strategically enforce your IP only when worthwhile,https://ipfirstresponse.ipaustralia.gov.au/options/choose-not-act-immediately,"""Enforcement""","""Any IP right""","Free, plus optional professional fees",Days,Null,Self-Help Strategy,Self-Help,28/02/2025,2/12/2025,Null,"""Intellectual property rights"", ""Guage The Situation"", ""Not To ACT Immediately"", ""Situation Choose ACT"", ""Enforce IP Worthwhile""",
D1012,IP attorney or lawyer,Obtain legal advice on your enforcement options,"Seek a qualified & experienced professional to provide specific, tailored advice.",https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-enforcement-options,"""Enforcement""","""Any IP right""","$500-$2,000 per hour",Weeks,Variable,Commercial Third Party Service,Legal service provider,2/12/2025,28/02/2025,Null,"""Intellectual property rights"", ""Legal advice"", ""IP Attorney Or Lawyer"", ""Legal Advice On Your Enforcement Options"", ""Specific Tailored Advice""",
D1013,IP insurance,Coverage against potential future costs related to infringement,Protect yourself from some costs involved in IP disputes  ,https://ipfirstresponse.ipaustralia.gov.au/options/coverage-against-potential-future-costs-related-infringement,"""Proactive""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright""",Variable,Days,Variable,Commercial Third Party Service,IP Insurers ,2/04/2025,1/10/2025,Null,"""Trade marks"", ""IP Insurance"", ""Coverage Against Potential Future Costs Related To Infringement"", ""Protect Costs Involved"", ""Related Infringement""",
D1014,Alternative dispute resolution (ADR) ,Resolve conflicts with the help of experienced facilitators  ,Understand more about the options in the ADR space.,https://ipfirstresponse.ipaustralia.gov.au/options/alternative-dispute-resolution-overview,"""Enforcement"", ""Accused""","""Any dispute""",Null,Null,Null,Commercial Third Party Service,Qualified Facilitator,28/02/2025,26/03/2026,Null,"""IP dispute"", ""Alternative dispute resolution"", ""Alternative Dispute Resolution ADR"", ""Resolve Conflicts With The Help Of Experienced Facilitators"", ""ADR Resolve""",
D1015,Trade mark non-use action,Remove a trade mark from the register,Request IP Australia removes an unused  trade mark from the register.,https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-non-use,"""Enforcement"", ""Proactive""","""Trade mark""",$350,Days (to file),Approx 1200 applications made to IP Australia per year,Government Service,IP Australia,28/02/2025,5/09/2025,The application for removal/cessation of protection for non-use must be filed in an approved form,"""Trade marks"", ""Trade mark non-use"", ""Trade mark registration"", ""Trade Mark Non-use Action"", ""A Trade Mark From The Register""",
D1015-EE,Trade mark non-use action,Apply to remove someone's unused trade mark (easy english),Request IP Australia removes an unused  trade mark from the register.,https://ipfirstresponse.ipaustralia.gov.au/options/apply-remove-someones-unused-trade-mark-easy-english,"""Enforcement"", ""Proactive""","""Trade mark""",$350,Days (to file),Approx 1200 applications made to IP Australia per year,Government Service,IP Australia,,25/02/2026,The application for removal/cessation of protection for non-use must be filed in an approved form,"""Trade marks"", ""Trade mark non-use"", ""Trade mark registration"", ""Trade Mark Non-use Action"", ""A Trade Mark From The Register""",
D1016,Opposition process,Challenge the registration of a new trade mark,Initiate a trade mark opposition process against a new trade mark with IP Australia,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-registration-new-trade-mark,"""Enforcement""","""Trade mark"", ""Unregistered-tm""","$650+, plus legal fees",Months to years,1-3% of trade marks are opposed,Government Service,IP Australia,1/07/2025,27/01/2026,Null,"""Trade marks"", ""Opposition proceedings"", ""Opposition Process"", ""The Registration Of A New Trade Mark"", ""Trade Mark Opposition""",
D1017,Patent opposition,Challenge a new or amended patent,Initiate a challenge to the validity of a new patent with IP Australia,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-new-or-amended-patent,"""Enforcement"", ""Proactive"" ","""Patent""","$5,000-$50,000+ in legal fees",Months to years,<1% of patents are opposed,Government Service,IP Australia,28/02/2025,3/10/2025,Null,"""Patents"", ""Opposition proceedings"", ""Patent Opposition"", ""A New Or Amended Patent"", ""Amended Patent Initiate""",
D1018,Court - Patent,"Seek binding, authoritative decisions",Escalate a wide range of patent matters to court,https://ipfirstresponse.ipaustralia.gov.au/options/court-patents,"""Enforcement""","""Patent""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority,Court,28/02/2025,24/09/2025,It is prudent to seek legal advice before deciding whether to start a legal action in court. You will likely also need assistance from an IP lawyer if you decide to start a legal action. ,"""Patents"", ""Court proceedings"", ""Court - Patent"", ""Binding Authoritative Decisions"", ""Court Patent""",
D1021,Trade mark registration revocation,Remove a trade mark from the register,Let IP Australia know a recently registered trade mark should not have been registered,https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-revocation,"""Enforcement"", ""Accused"", ""Proactive""","""Trade mark"", ""Unregistered-tm""","Free, plus optional professional fees",Days (to request),Revocation of registration is very rare,Government Service,IP Australia,28/02/2025,5/09/2025,Null,"""Trade marks"", ""Trade mark registration"", ""Trade Mark Registration Revocation"", ""A Trade Mark From The Register"", ""Revocation Remove Trade""",
D1022,World IP Organisation (WIPO) ,Access international arbitration and mediation services,Seek dispute resolution through the WIPO Arbitration and Mediation Center,https://ipfirstresponse.ipaustralia.gov.au/options/access-international-arbitration-and-mediation-services,"""Enforcement""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"",  ""Unregistered-tm""","US$3k-$9k+, plus legal fees",Months,92% of users prefer this over litigation to resolve cross-border disputes,Non-Government Third-Party Authority,World Intellectual Property Office,1/03/2025,22/01/2026,Null,"""Trade marks"", ""Mediation"", ""Arbitration"", ""International disputes"", ""World IP Organisation WIPO""",
D1024,Domain Name Dispute (UDRP),Challenge the use of international domain name,Dispute an international domain name that infringes your trade mark,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-use-international-domain-name,"""Enforcement"", ""Accused""","""Trade mark"", ""Copyright""","US$1,500+ per domain, plus optional legal fees",Weeks to months,Variable,Non-Government Third-Party Authority,World Intellectual Property Office,1/03/2025,2/12/2025,Please Note: If the infringing domain name ends in ‘.au’ then the relevant policy is the .au Dispute Resolution Policy (auDRP) provided by auDA. ,"""Trade marks"", ""International disputes"", ""Domain name dispute"", ""Domain Name Dispute Udrp"", ""The Use Of International Domain Name""",
D1028,Negotiation,Agree to a formal commercial arrangement,Work with an IP professional to come to an agreement with another party,https://ipfirstresponse.ipaustralia.gov.au/options/agree-formal-commercial-arrangement,"""Enforcement""","""Any IP right""",Variable legal fees,Days to weeks,Over 90% of commercial disputes settle outside court or arbitration,Self-Help Strategy,Self-Help,28/02/2025,8/09/2025,Null,"""Intellectual property rights"", ""Negotiation"", ""Contract terms"", ""Agree To A Formal Commercial Arrangement"", ""Work IP""",
D1029,Arbitration ,Resolve IP issues with the help of a third party,Agree to be bound by the decision of a highly qualified third-party assessment,https://ipfirstresponse.ipaustralia.gov.au/options/arbitration,"""Enforcement""","""Any IP right""","$10k+, plus signficant legal fees",Months,Variable,Commercial Third Party Service,Arbitrator,1/03/2025,27/01/2026,Null,"""Intellectual property rights"", ""Arbitration"", ""Resolve IP Issues With The Help Of A"", ""Bound Decision Highly"", ""Agree Bound Decision""",
D1030,Interim court injuction order,Seek a court order to prevent further damage while preparing for court.,Lodge an interim injunction order through court,https://ipfirstresponse.ipaustralia.gov.au/options/interim-court-injunction,"""Enforcement""","""Any IP right""", $100k+ in legal fees,Years,Matter will be resolved in court at later date,Non-Government Third-Party Authority,Court,28/02/2025,26/03/2026,Null,"""Intellectual property rights"", ""Court proceedings"", ""Injunction"", ""Interim Court Injuction Order"", ""A Court Order To Prevent Further Damage While""",
D1033,Informal contact,Provide an opportunity for the other party to stop infringing.,Alert the alleged infringer of your registered rights to allow them to stop infringing,https://ipfirstresponse.ipaustralia.gov.au/options/informal-contact-stop-infringing,"""Enforcement""","""Any IP right""",Free,Days to weeks,Variable,Self-Help Strategy,Self-help,20/02/2025,26/03/2026,"There can be serious consequences if you threaten a person with infringement proceedings on an incorrect basis, including a risk that the party may sue you. You might be liable to pay compensation or damages or you may be ordered to stop making the threat under ‘unjustified threat’ provisions (also referred to as ‘groundless threats’ in copyright law).   ","""Intellectual property rights"", ""Informal resolution"", ""Informal Contact"", ""Provide An Opportunity For The Other Party To"", ""Stop Infringing""",
D1036,International disputes,Considerations before enforcing your IP overseas,Find the right assistance to enforce your IP right in the case of infringement happening outside of Australia. ,https://ipfirstresponse.ipaustralia.gov.au/options/considerations-enforcing-your-ip-overseas,"""Enforcement""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,28/02/2025,2/12/2025,"Without careful attention to the local operating environment, you may risk undermining your IP right. ","""Intellectual property rights"", ""International disputes"", ""Before Enforcing Your IP Overseas"", ""Case Infringement"", ""IP Right Case""",
D1038,eCommerce platform,Notify online marketplaces of infringement on their platform,Request infringing material is removed from online marketplaces and platforms,https://ipfirstresponse.ipaustralia.gov.au/options/notify-online-marketplaces-infringement-their-platform,"""Enforcement""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""",Free,Hours,Variable,Commercial Third Party Service,eCommerce provider,28/02/2025,2/12/2025,Null,"""Trade marks"", ""Online marketplace"", ""Ecommerce Platform"", ""Notify Online Marketplaces Of Infringement On Their Platform"", ""Infringement Platform""",
D1039,Apply for a trade mark,Register your unregistered trade mark,Strengthen your position as the registered owner of your trade mark in Australia,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-unregistered-trade-mark,"""Enforcement"", ""Proactive""","""Trade mark"", ""Unregistered-tm""",$330 per class,Hours (to apply),Approximately 75% of trade mark applications achieve registration,Government Service,IP Australia,1/03/2025,5/09/2025,Null,"""Trade marks"", ""Trade mark registration"", ""Apply For A Trade Mark"", ""Your Unregistered Trade Mark"", ""Trade Mark Strengthen""",
D1040,Support from your vendors,Ask your suppliers and sellers to help protect your IP ,Contact businesses you work with to raise concerns about suspected IP infringement and ask for their help preventing further infringement.,https://ipfirstresponse.ipaustralia.gov.au/options/ask-your-suppliers-and-sellers-help-protect-your-ip,"""Enforcement""","""Any IP right""",Free,Days to weeks,Variable,Self-Help Strategy,Self-Help,28/07/2025,5/09/2025,Null,"""Intellectual property rights"", ""Support From Your Vendors"", ""Your Suppliers And Sellers To Help Protect Your"", ""Businesses Work Raise"", ""Suspected IP""",
D1057,Report IP crime or safety concerns,Prevent risks to public interest,"Inform Government about risks to public health, crime, counterfeiting, frauds & scams.",https://ipfirstresponse.ipaustralia.gov.au/options/prevent-risks-public-interest,"""Enforcement""","""Any dispute""",Free,Hours to days,IP crimes are rarely prosecuted,Government Service,"TGA, Law Enforcement, ACCC, Scamwatch",28/02/2025,2/12/2025,"Sales of counterfeit goods can be reported to Crime Stoppers . If you suspect links to serious or organised crime like the above, phone 131 444 and report the matter to your local police. ","""IP dispute"", ""Scams and fraud reporting"", ""Counterfeit goods"", ""Report IP Crime Or Safety Concerns"", ""Prevent Risks To Public Interest""",
D1067,Notification of prior art,Prevent a patent under examination from being granted,Submit a third-party notification of prior art (S27) to alert IP Australia to earlier work that may show a patent application lacks novelty or inventiveness and thus cannot be granted.,https://ipfirstresponse.ipaustralia.gov.au/options/prevent-patent-under-examination-being-granted,"""Proactive""","""Patent""",Free,Hours to weeks, S27 notices are rarely submitted to IP Australia.,Government Service,IP Australia,18/07/2025,27/01/2026,Null,"""Patents"", ""Prior art"", ""Notification Of Prior Art"", ""Prevent A Patent Under Examination From Being Granted"", ""Notification Prior""",
D1080,Hiring a professional,Choosing the right IP professional,"Different professionals offer different expertise. Find out who does what, how they can help, and what to consider when choosing someone for your situation.",https://ipfirstresponse.ipaustralia.gov.au/options/choosing-right-ip-professional,"""IP Basics""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"", ""Unregistered-tm""",Null,Null,Null,Commercial Third Party Service,Self-Help,23/01/2025,27/01/2025,Null,"""Trade marks"", ""Hiring A Professional"", ""Choosing The Right IP Professional"", ""Expertise Does Help"", ""Consider Choosing Situation""",
D1084,Court - PBR,"Seek binding, authoritative decisions",Escalate a wide range of PBR matters to court.,https://ipfirstresponse.ipaustralia.gov.au/court-pbr,"""Enforcment""","""PBR""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority,Court,23/01/2026,3/02/2026,"PBR court cases are rare. This means there is limited legal precedent for judges and lawyers to draw on. This makes it harder to build a strong case, increases potential costs, and adds uncertainty to how a judge might rule.  ","""Plant breeder's rights"", ""Court proceedings"", ""Court - PBR"", ""Binding Authoritative Decisions"", ""PBR Matters Court""",
D1084,Court - PBR,"Seek binding, authoritative decisions",Escalate a wide range of PBR matters to court.,https://ipfirstresponse.ipaustralia.gov.au/options/court-pbr,"""Enforcment""","""PBR""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority,Court,23/01/2026,26/03/2026,"PBR court cases are rare. This means there is limited legal precedent for judges and lawyers to draw on. This makes it harder to build a strong case, increases potential costs, and adds uncertainty to how a judge might rule.  ","""Plant breeder's rights"", ""Court proceedings"", ""Court - PBR"", ""Binding Authoritative Decisions"", ""PBR Matters Court""",
D1087,Court - Designs,"Seek binding, authoritative decisions",Escalate a wide range of design rights matters to court.,https://ipfirstresponse.ipaustralia.gov.au/options/court-designs,"""Enforcment""","""Design""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority,Court,23/01/2026,29/014/2026,"Designs court cases are rare. This means there is limited legal precedent for judges and lawyers to draw on. This makes it harder to build a strong case, increases potential costs, and adds uncertainty to how a judge might rule.","""Designs"", ""Court proceedings"", ""Court - Designs"", ""Binding Authoritative Decisions"", ""Rights Matters""",
E1000,Learn about IP,What is IP and how does it protect me?,"Intellectual property rights protect your creations, stop unauthorised use, and can make your business more valuable through exclusive legal control.",https://ipfirstresponse.ipaustralia.gov.au/options/what-ip-and-how-does-it-protect-me,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,22/08/2025,Null,"""Intellectual property rights"", ""Learn About IP"", ""What Is IP And How Does It Protect"", ""Property Rights Protect"", ""Protect Creations Stop""",
E1001,Business names,Is my business name my IP?,Only registered trade marks provide exclusive legal protection for your brand; business and company names registered with ASIC do not.,https://ipfirstresponse.ipaustralia.gov.au/options/my-business-name-my-ip,"""IP Basics""","""Trade mark""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Trade marks"", ""Trade mark registration"", ""Business Names"", ""Is My Business Name My IP"", ""Brand Business""",
E1002,Protecting your business,What IP protection means for my business ,IP protection means securing legal rights over the things your business create.,https://ipfirstresponse.ipaustralia.gov.au/options/what-does-ip-protection-mean-my-business,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Protecting Your Business"", ""What IP Protection Means For My Business"", ""Business IP Protection"", ""Things Business""",
E1003,Costs of IP,Why is this so expensive?,"Enforcing your intellectual property (IP) is about stopping suspected or alleged infringement and, in some cases, seeking damages. Costs usually rise with urgency, complexity and the number of parties involved. ",https://ipfirstresponse.ipaustralia.gov.au/options/why-so-expensive,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Damages and compensation"", ""Costs Of IP"", ""Why Is This So Expensive"", ""Damages Costs""",
E1004,Before applying,What to check before getting registered IP,The steps to take when considering applying for a registered right.,https://ipfirstresponse.ipaustralia.gov.au/options/what-check-getting-registered-ip,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Before Applying"", ""What To Check Before Getting Registered IP"", ""Steps Considering Applying"", ""Applying Registered""",
E1005,Applying for IP,Is it worth registering my IP?,"Your ideas, brands, inventions and designs can be some of the most valuable assets in your business. Like physical assets, they can grow in value over time — but only if you take steps to protect them. ",https://ipfirstresponse.ipaustralia.gov.au/options/it-worth-registering-my-ip,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Applying For IP"", ""Is It Worth Registering My IP"", ""Assets Grow Value"", ""Assets Business Like""",
E1006,Using IP in business,Discover where you are in your IP journey,"Match your current activities to common stages in the IP journey, you can quickly see what’s most relevant now and what might come next. ",https://ipfirstresponse.ipaustralia.gov.au/options/discover-where-you-are-your-ip-journey,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Using IP In Business"", ""Discover Where You Are In Your IP Journey"", ""IP Business Discover"", ""Stages IP Journey""",
E1007,Checking IP rights ,"Check if someone else already owns a word, logo or idea you want","An IP search means looking in free online tools called registers. These show who owns trade marks (names, logos), patents (inventions), designs (product looks) and domain names (website addresses). ",https://ipfirstresponse.ipaustralia.gov.au/options/check-if-someone-else-already-owns-word-logo-or-idea-you-want,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Domain name dispute"", ""Website infringement"", ""Checking IP Rights"", ""Check If Someone Else Already Owns A Word""",
E1008,Making money,Does IP help me to make or save money?,"Owning intellectual property (IP) won’t earn you money outright without commercialising it, but it can make it easier to grow your business and increase your profit by protecting what makes your business or products valuable. For example: ",https://ipfirstresponse.ipaustralia.gov.au/options/does-ip-help-me-make-or-save-money,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Making Money"", ""Does IP Help Me To Make Or Save"", ""Money Does"", ""Business Products Valuable""",
E1009,Selling or licensing,"Can I buy, sell or license IP?","Intellectual property is a type of property, just like a house or a car. The only difference is that you can’t touch it — It’s intangible. Like any property, intellectual property can be bought, sold, or rented (called ‘licensing’ when referring to IP). ",https://ipfirstresponse.ipaustralia.gov.au/options/can-i-buy-sell-or-license-ip,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Licensing"", ""Selling Or Licensing"", ""Can I Buy Sell Or License IP"", ""Bought Sold Rented""",
E1010,IP disputes ,What do I do if someone copies my stuff?,"When you think someone has copied your product, logo, idea or brand, it is called ‘suspected infringement’. The word ‘suspected’ is used because only a court can decide if infringement has actually occurred – but that doesn't mean you cannot take action. ",https://ipfirstresponse.ipaustralia.gov.au/options/what-do-i-do-if-someone-copies-my-stuff,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Court proceedings"", ""IP Disputes"", ""What Do I Do If Someone Copies My"", ""Product Logo Idea""",
E1011,Using IP,Can I get in trouble for using IP that is not mine?,"Intellectual property (IP) refers to ideas or creations that can legally belong to a person in the form of a property right. Therefore, if you use someone else’s IP without permission, the owner may claim infringement and try to stop you or seek compensation.  ",https://ipfirstresponse.ipaustralia.gov.au/options/can-i-get-trouble-using-ip-not-mine,"""IP Basics""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,11/09/2025,2/10/2025,Null,"""Intellectual property rights"", ""Damages and compensation"", ""Using IP"", ""Can I Get In Trouble For Using IP"", ""Form Property""",
E1012,Complaints,I'm not happy with IP Australia - what can I do?,"If you are not happy with the service you received from IP Australia, there are ways you can raise your concerns. A complaint allows you to explain what went wrong and what outcome you would like. ",https://ipfirstresponse.ipaustralia.gov.au/options/i-am-not-happy-ip-australia-what-can-i-do,"""IP Basics""","""Any IP right""",Null,Null,Null,Government Service,IP Australia,11/09/2025,12/09/2025,Null,"""Intellectual property rights"", ""Complaints process"", ""Complaints"", ""I'm Not Happy With IP Australia - What"", ""Wrong Outcome Like""",
E1013,Complaints,How can I make a complaint about a lawyer or attorney?,"If you are unhappy with how a lawyer or a patent or trade marks attorney has acted, you may be able to make a formal complaint to the body that regulates them. ",https://ipfirstresponse.ipaustralia.gov.au/options/how-can-i-make-complaint-about-lawyer-or-attorney,"""IP Basics""","""Any IP right""",Null,Null,Null,Commercial Third Party Service,Trans-Tasman IP Attorneys Board,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Complaints process"", ""Legal advice"", ""Complaints"", ""How Can I Make A Complaint About A""",
E1014,Getting legal help ,What can I expect from a lawyer or attorney?,"Hiring a legal professional does not guarantee that you will win a dispute, but it may give you confidence that your rights are being taken seriously and your next steps are well considered. ",https://ipfirstresponse.ipaustralia.gov.au/options/what-can-i-expect-lawyer-or-attorney,"""IP Basics""","""Any IP right""",Null,Null,Null,Commercial Third Party Service,Legal service provider,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Legal advice"", ""Getting Legal Help"", ""What Can I Expect From A Lawyer Or"", ""Expect Lawyer Attorney""",
E1015,IP attorney or lawyer,When do I need a lawyer or attorney to deal with IP issues?,"This page explains when it may be helpful to speak to a legal professional, such as a lawyer or a trade mark or patent attorney, about an intellectual property (IP) issue. ",https://ipfirstresponse.ipaustralia.gov.au/options/when-do-i-need-lawyer-or-attorney-deal-ip-issues,"""IP Basics""","""Any IP right""",Null,Null,Null,Commercial Third Party Service,Legal service provider,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Legal advice"", ""IP Attorney Or Lawyer"", ""When Do I Need A Lawyer Or Attorney"", ""Lawyer Need Lawyer""",
E1016,IP Disputes ,How can I deal with IP issues without going to court? ,"There are many ways to address IP issues and resolve IP disputes without going to court. Before considering court, you may want to try one of these informal or administrative approaches.",https://ipfirstresponse.ipaustralia.gov.au/options/how-can-i-deal-ip-issues-without-going-court,"""IP Basics""","""Any IP right""",Null,Null,Null,Non-Government Third-Party Authority,Self-Help,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Court proceedings"", ""IP Disputes"", ""How Can I Deal With IP Issues Without"", ""Going Court""",
E1017,Disagreements about registration,What are the ways to challenge a decision IP Australia has made?,"If you disagree with an examination decision by IP Australia, there are multiple ways to challenge the decision.  
",https://ipfirstresponse.ipaustralia.gov.au/options/what-can-i-do-if-i-disagree-ip-australias-examination-decision,"""IP Basics""","""Any IP right""",Null,Null,Null,Government Service,IP Australia,11/09/2025,1/10/2025,Null,"""Intellectual property rights"", ""Contract terms"", ""Disagreements About Registration"", ""What Are The Ways To Challenge A Decision"", ""Decision IP""",
E1018,IP Australia process,What happens in an IP Australia hearing?,"A hearing at IP Australia is a formal, administrative way to resolve disagreements about IP rights such as patents, trade marks or designs. It’s handled by a hearing officer from IP Australia who specialises in the relevant field of IP law. ",https://ipfirstresponse.ipaustralia.gov.au/options/what-happens-ip-australia-hearing,"""IP Basics""","""Any IP right""",Null,Null,Null,Government Service,IP Australia,11/09/2025,11/09/2025,Null,"""Intellectual property rights"", ""Contract terms"", ""IP Australia Process"", ""What Happens In An IP Australia Hearing"", ""IP Law""",
